Sysnet,NEG,Predicted
"b'( politika ) obezbe\xc4\x91ivati usluga , ugovor i pozicija u zamjenu za politi\xc4\x8dki podr\xc5\xa1ka '",1,0
b'nesposobnost osoba da se setiti ili uraditi onaj \xc5\xa1to obi\xc4\x8dno mo\xc4\x87i ; \xc4\x8desto uzrokovati emoionalnom napetost . ',1,0
b'podsticati neki da po\xc4\x8diniti zlo\xc4\x8din ili neki krivi\xc4\x8dan delo ',1,0
b'Ubla\xc5\xbeavanje patnja ; pokazivanje velik dobrota prema izmu\xc4\x8den . ',0,1
"b'koji karakeri\xc5\xa1e ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . '",0,1
b'neki ko proizvoditi ne\xc5\xa1to . ',1,0
b'proces koji jesam obuhvatiti ljudski bi\xc4\x87e ',0,1
b'ispuniti slutnja ili uznemirenost ; izazvati neprijatan iznena\xc4\x91enost ',0,1
b'Not standard ; Not accepted as a model of excellence ',1,0
b'Zapo\xc4\x8deti ili voditi rat . ',0,1
b'promena u nizak stanje ( manje po\xc5\xa1tovati ) ',1,0
b'u koji nem \xc5\xbeivot . ',1,0
"b'nezgoda , posebno ona koji prouzrokovati povreda ili smrt . '",1,0
b'uni\xc5\xa1titi ili veoma o\xc5\xa1tetiti vatra ',1,0
b'bring forth Or yield ',0,1
b'radnja koji karakterisati dobro raspolo\xc5\xbeenje ',0,1
b'Pro\xc5\xa1ireno zna\xc4\x8denje ; posebno se odnositi na psiholo\xc5\xa1ki hladno\xc4\x87a ; bez ljudski toplina i emocija . ',1,0
b'ubijanje odsecanje glava ',0,1
b'mutacija koji se de\xc5\xa1avati usled intramolekularne reorganizacija gen ',0,1
"b'stvoriti mentalno i apstraktan , a ne ru\xc4\x8dno . '",0,1
"b'stanje \xc4\x8dovekov ose\xc4\x87anje , posebno vezati za zadovoljstvo ili poti\xc5\xa1tenost . '",0,1
b'radnik koji jesam najamiti da obaviti posati . ',0,1
b'povu\xc4\x87i se ',1,0
b'posmatrati s pa\xc5\xbenja ; upraviti ne\xc4\x8diji pogled . ',0,1
b'ubijanje \xc4\x8dovek od strana drugi \xc4\x8dovek . ',0,1
b'koji vi\xc5\xa1e nemati \xc5\xbeivotan funkcija ( ili bar tako izgledati ) . ',1,0
b'stanje dobar od ranijeg . ',0,1
b'proglasiti kriv ( utvrditi krivica ) ',1,0
b'nesposoban da delovati : bez pomo\xc4\x87 ',1,0
b'koji pokazivati ili izazivati veselje i zadovoljstvo ',0,1
b'osoba koji ne raditi . ',0,1
b'postati gora . ',1,0
b'Pri\xc4\x8dati na besposlen ili neobavezan na\xc4\x8din sa element sumnja ili bez dovoljno razlog da se do\xc4\x87i do zaklju\xc4\x8dak . ',1,0
b'ose\xc4\x87ati zadovoljstvo zbog ne\xc5\xa1to ',0,1
b'poseban oblik sagre\xc5\xa1enje ',1,0
b'emocionalan poreme\xc4\x87enost ; osnovni ose\xc4\x87anje koji ljudi poku\xc5\xa1avati da izbegnuti . ',1,0
