Sysnet,NEG,Predicted
b'stanje zato\xc4\x8denosti ( obi\xc4\x8dno za kratak vreme ) ',1,0
b'izazvati \xc5\xa1teta na ne\xc5\xa1to . ',1,0
b'onaj \xc5\xa1to jesam \xc4\x8dulo oktriveno ',0,1
b'koji trpiti atrofija ',1,0
b'postati namo\xc4\x8diti ',0,1
"b'koji karakeri\xc5\xa1e ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . '",0,1
b'neprijateljski stav ',1,0
b'ubijati ( \xc5\xbeivotinja ) obi\xc4\x8dno radi hrana ',0,1
b'plo\xc4\x8da koji jesam izgravirana ',0,1
b'\xc4\x8din nameran odstupanje od istina ',1,0
b'ozlogla\xc5\xa1enost zbog neki poseban karakteristika ',0,1
b'koji ose\xc4\x87ati ili izazivati radost ',0,1
b'spojiti ili vezati . ',0,1
b'koji motivisati briga za otklanjanje patnja drugi . ',0,1
b'pru\xc5\xbeiti moralan ili emocionalan snaga ',0,1
b'moralan izvanrednost . ',0,1
b'fistularija ',0,1
b'Li\xc5\xa1iti hrana . ',0,1
b'u koji nem \xc5\xbeivot . ',1,0
"b'koji misliti najgore o ljudski priroda i motiv ; koji imati podrugljiv neverica u , npr . u nesebi\xc4\x8dnost drugi '",1,0
b'priroda ili svojstvo onaj ko jesam emocionalan . ',0,1
"b'koji jesam okarakterisati mra\xc4\x8dan , misti\xc4\x8dan i groteska '",1,0
b'onesposobiti kretanje neki tako \xc5\xa1to se smestiti unutar neki granica . ',1,0
b'nezakonit ubijanje s predumi\xc5\xa1ljaj jedan \xc4\x8dovek od strana drugi . ',1,0
b'okrutan poslodavac koji od zaposlen tra\xc5\xbeiti da prekomeran raditi . ',1,0
b'izjava koji neki ili ne\xc5\xa1to odavati priznanje ',0,1
b'te\xc5\xbeak zlo\xc4\x8din ',0,1
"b'koji jesam popustljiv , koji se te\xc5\xa1ko upravljati . '",1,0
"b'koji ne tra\xc5\xbeiti , ne iziskivati specijalan nutricione potreba '",1,0
b'koji ose\xc4\x87ati ili ispoljavati velik uzbu\xc4\x91enje ili zainteresovanost ',0,1
b'odlaziti i koji ne povesti sa sebe ',0,1
b'ratobornost izazvati stvaran ili pretpostavljen nepravda ( predstaviti kao jedan od smrtan greh ) ',1,0
b'protivno zakon ili zakon zabraniti ',1,0
b'obestan i uzbudljiv poduhvat ( ne nu\xc5\xbeno zakonit ) ',1,0
"b'( politika ) obezbe\xc4\x91ivati usluga , ugovor i pozicija u zamjenu za politi\xc4\x8dki podr\xc5\xa1ka '",1,0
b'ispuniti divljenje i ushi\xc4\x87enje ',1,0
b'stanje zadovoljstvo jer nem bolest . ',0,1
b'otarasiti se neki ubistvo . ',1,0
b'Ose\xc4\x87anja pro\xc5\xbeiveti kada jesam neki u zadovoljan stanje . ',0,1
b'stanje ili uslov u koji jesam neki nevin za odre\xc4\x91en zlo\xc4\x8din ili uvreda . ',0,1
b'pojava promeniti nagore . ',1,0
b'ne pridr\xc5\xbeavanje moralan princip . ',0,1
b'kafa bez kofein ',0,1
b'gubitak novac ili smanjenje finansijski vrednost . ',0,1
b'O\xc5\xa1te\xc4\x87enje normalan fiziolo\xc5\xa1ki funkcija koji poga\xc4\x91ati deo ili ceo organizam . ',1,0
b'stanje u koji \xc4\x8dovek ne mo\xc4\x87i da funkcionisati normalno i bez bol . ',1,0
b'Instrumentalisi ne uklju\xc4\x8divati guda\xc4\x8d . ',0,1
b'okrutan \xc4\x8din ; namerno izazivanje bol ili patnja . ',1,0
b'\xc4\x8cin prljanje ne\xc5\xa1to . ',1,0
b'Ose\xc4\x87aj koji se do\xc5\xbeivljavati u o\xc4\x8dekivanje neki odre\xc4\x91enog bol ili opsasnosti i obi\xc4\x8dno ga pratiti \xc5\xbeelja da se pobe\xc4\x87i . ',1,0
b'\xc4\x8cin o\xc5\xa1te\xc4\x87ivanje ne\xc5\xa1to ili neki . ',1,0
b'stanje biti nezaposlen ili nemati posati . ',1,0
b'svaki \xc5\xa1teta proiste\xc4\x87i iz povreda prava ',1,0
b'nastrojen prema ne\xc5\xa1to . ',0,1
b'uzrokovati da ne\xc5\xa1to pote\xc4\x87i ',0,1
b'velik ( glavobolja ) . ',1,0
b'neki ko reklamirati ili razmenjivati roba ili usluga za novac . ',0,1
b'onaj \xc5\xa1to jesam u suprotnost sa princip pravda ili zakon ',1,0
b'pod uticaj patnja i tuga ili ispuniti ovaj ose\xc4\x87anje ',1,0
b'koji ne mo\xc4\x87i da se desiti ili ostvariti ili s koji se ne mo\xc4\x87i rukovati . ',1,0
b'dobiti neki bolest . ',0,1
"b'onaj \xc5\xa1to jesam lako , zahtevati velik fizi\xc4\x8dki ili mentalan napor da biti se ostvariti . razumeti ili izdr\xc5\xbeati . '",1,0
b'imati ne\xc5\xbeeljen ili negativan kvalitet ',1,0
b'nenormalan depresija i nezadovoljstvo ',1,0
b'osobina onaj ko jesam prihvatiti i ne upu\xc4\x87ivati on se pohvaliti . ',1,0
b'stanje koji jo\xc5\xa1 ne odgovarati zrelost . ',1,0
b'organizovati akcija proizvodnja roba ili usluga za prodaja . ',0,1
b'izazvati povreda ili telesni o\xc5\xa1te\xc4\x87enje . ',1,0
b'tvar koji sjedinjivati ili vezati ',0,1
b'kvalitet neki ili ne\xc5\xa1to \xc5\xa1to imati slab ili manje po\xc5\xbeeljan pozicija . ',1,0
"b'govoriti nerazgovetno , obi\xc4\x8dno tih glas . '",1,0
b'Poku\xc5\xa1aj da se ne\xc5\xa1to dobiti . ',0,1
