Sysnet,POS,Predicted
b'Ose\xc4\x87anje pomanjkanje briga . ',0,1
b'smanjenje vrednost stvar usled \xc4\x8dinjenje ili ne\xc4\x8dinjenje ',0,1
b'nesmanjen i nenaru\xc5\xa1en celovitost ili ukupnost . ',1,0
b'general visok rang ',0,1
"b'Karakteristi\xc4\x8dno stanje ose\xc4\x87anje , uobi\xc4\x8dajen ili relativno privremeno . '",0,1
"b'koji ohrabrivati , odobravati ili zadovoljavati '",1,0
b'biti veoma primetati . ',1,0
b'Apolutno va\xc5\xbeno . ',1,0
b'izazvati \xc5\xa1teta na ne\xc5\xa1to . ',0,1
b'kvalitet ne\xc5\xa1to \xc5\xa1to jesam adekvatno ili perfektno . ',0,1
b'neki nizak rang ili polo\xc5\xbeaj ili kvalitet . ',0,1
b'ispuniti ili anulirati dug ',0,1
b'revnostan u posve\xc4\x87enost i privr\xc5\xbeenost ',1,0
b'koji mo\xc4\x87i ponovo da se koristiti ',1,0
b'nedoli\xc4\x8dan ili nemoralan pona\xc5\xa1anje ',0,1
b'koji jesam zadovoljan ; koji do\xc5\xbeivljavati ili ispoljavati nezadovoljstvo ',0,1
"b'koji se \xc5\xbeeti , tra\xc5\xbeiti '",1,0
b'koji donositi dobar profit ',1,0
b'Ne\xc5\xa1to \xc5\xa1to sakrivati stvar ili ometati vidik . ',0,1
b'inkorporacija pridru\xc5\xbeivanje ili ujedinjavanje ',0,1
b'lajati visok ton ',0,1
b'rast cena ili vrednost ',0,1
b'Kola\xc4\x8d koji sadr\xc5\xbeati \xc4\x8dokolada . ',0,1
b'sportski grana koji razvijati dobar vo\xc5\xbenu bicikl ili motocikl ',0,1
b'stanje tehnolo\xc5\xa1ki razvoj ili inovacija ',0,1
b'sme\xc5\xa1ati ili uskladiti ',0,1
b'namotati na kalem ili \xc5\xa1pulnu ',0,1
b'kvalitet onaj \xc5\xa1to jesam te\xc5\xa1ko otkriti ili analizirati . ',0,1
b'strm visok obronak ili stena ',0,1
b'umetnik nenadma\xc5\xa1an ve\xc5\xa1tina . ',1,0
b'kvalitet onaj ko jesam bri\xc5\xbeljiv . ',0,1
b'ose\xc4\x87ati zadovoljstvo zbog ne\xc5\xa1to ',1,0
b'ose\xc4\x87anje velik utu\xc4\x8denost i melanholija ',0,1
b'zaokupiti na prijatan ili zabavan na\xc4\x8din . ',1,0
b'velik i nepreknuto rastojanje ili prostranstvo . ',0,1
b'koji jesam moralno lo\xc5\xbe ili pogre\xc5\xa1an . ',0,1
b'ispustiti ili osloboditi ; posebno o te\xc4\x8dnost . ',0,1
b'koji izra\xc5\xbeavati ili propovedati obo\xc5\xbeavanje bo\xc5\xbeanstvo . ',1,0
b'blagonaklon procena ',1,0
b'onaj koji jesam u stanje san ',0,1
"b'u\xc4\x8diniti da ne\xc5\xa1to postati sanitarni ( bez bacil ) , replaced-dns '",1,0
b'diviti se i \xc4\x8duditi ne\xc5\xa1to ',1,0
b'kvalitet koji ne pru\xc5\xbeati zadovoljstvo \xc4\x8dulo . ',0,1
b'koji jesam klonuo duh ',0,1
b'koji jesam moralno odbojan ili neugodan za \xc4\x8dulo . ',0,1
b'oporavak ili na\xc4\x8din \xc4\x8duvanje od gubitak ili opasnost . ',1,0
b'stanje kada jesam neki prosperitetan i uspe\xc5\xa1an . ',1,0
b'potpun kompleks stav i ube\xc4\x91enje . ',0,1
"b'u skolastika , jedan od \xc4\x8detiri vrlina koji dolaziti od priroda . '",1,0
b'izraziti zahvalnost ili pokazati po\xc5\xa1tovanje ',0,1
b'okrutno ili nehuman postupanje ',0,1
b'voditi ili doprinositi uspeh . ',0,1
