Sysnet,POS,Predicted
"b'koji karakeri\xc5\xa1e ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . '",1,0
b'ose\xc4\x87anje zapla\xc5\xa1enost ',0,1
b'neki ko poku\xc5\xa1avati da probrati drugi u drugi vera ili dkotrinu . ',0,1
b'koji jesam intelektualan . ',0,1
"b'onaj \xc5\xa1to se mo\xc4\x87i videti , ili se mo\xc4\x87i znati ili zaklju\xc4\x8diti da imati svoj fizi\xc4\x8dki postojanje ( \xc5\xbeiv ili ne\xc5\xbeiv ) . '",0,1
b'vuga ',0,1
b'TN ',0,1
b'osobina onaj ko jesam \xc5\xa1iroko prihvatiti i \xc4\x8diji se dru\xc5\xa1tvo tra\xc5\xbeiti . ',1,0
b'ne pridr\xc5\xbeavanje moralan princip . ',0,1
b'koji na sebe imati prljav\xc5\xa1tina ili ne\xc4\x8disto\xc4\x87a . ',0,1
b'Prestonca Bosna i Hercegovina . ',0,1
"b'koji se \xc5\xbeeti , tra\xc5\xbeiti '",1,0
b'kupusara ; ? sulphur butterflies . ',0,1
b'profesor visok rang . ',1,0
b'ukloniti ne\xc5\xbeeljen supstanca iz ne\xc5\xa1to . ',1,0
b'lepota koji jesam privla\xc4\x8dan \xc4\x8dulo . ',1,0
b'na\xc4\x8din rad ili pona\xc5\xa1anje ',0,1
b'koji se mo\xc4\x87i prebrojati ',0,1
"b'\xc4\x8cin uklanjanje \xc4\x8di\xc5\xa1\xc4\x87enje , osloba\xc4\x91anje od talog ili drugi nepo\xc5\xbeeljan element . '",0,1
b'rezultat parcelisanje ili deljenje . ',0,1
b'koji proizvoditi ili jesam sposoban da proizvoditi ( posebno u velik koli\xc4\x8dina ) ',1,0
b'slavuj . ',0,1
b'radnik koji jesam najamiti da obaviti posati . ',1,0
b'osoba koji ispoljavati pobo\xc5\xbenost . ',0,1
b'biti koji \xc5\xa1tapi\xc4\x8dasta baterija ',0,1
b'kvalitet koji pru\xc5\xbeati zadovoljstvo \xc4\x8dulo . ',1,0
b'onaj koji postojati ili se pojavljivati u stvarnost ; imati proveren postojanje ; jesam iluzoran ; ',0,1
b'koji mo\xc4\x87i da se desiti ili da postojati . ',1,0
b'osoba koji se brina o ljudi i njihov svojina . ',1,0
b'supstanca koji zaustavljati ili usporavati neki aktivnost ',0,1
b'koji ose\xc4\x87ati nadolaze\xc4\x87i opasnost ',0,1
b'osloboditi konfuzija ili dvosmislenost ; u\xc4\x8diniti jasan . ',0,1
"b'nagovestiti , naslutiti , predose\xc4\x87ati . '",0,1
b'razlikovni karakteristika ili atribut ',0,1
b'obilovati . ',0,1
b'Oslobo\xc4\x91en spolja\xc5\xa1nji kontrola i ograni\xc4\x8denje . ',1,0
b'na visok nivo po rang ili zna\xc4\x8daj ',1,0
b'\xc4\x8cin dodavanje spolja\xc5\xa1nji ukras na ne\xc5\xa1to . ',1,0
b'imati egzistanciju . ',0,1
"b'jako ose\xc4\x87anje , usmeren prema neki stvaran ili navodni muka . '",0,1
b'ose\xc4\x87anje izazvati ne\xc5\xa1to \xc4\x8dudan i iznena\xc4\x91uju\xc4\x87i ',1,0
b'DZ ',0,1
b'Ericaceae ; Clethraceae ; Diapensiaceae ; Epacridaceae ; Lennoaceae ; Pyrolaceae ; Monotropaceae ',0,1
b'visok vrednost ne\xc5\xa1to . ',1,0
b'osoba koji se odmarati ',0,1
b'o apostrofa ili koji jesam karakteristika apostrofa ',0,1
b'osoba \xc4\x8diji jesam svetost izuzetan ',1,0
b'velik bogatstvo . ',1,0
"b'koji ohrabrivati , odobravati ili zadovoljavati '",1,0
