X,Predicted,Real
izgubiti svaku nadu,1,0
"Odgovor telesnog tkiva na povredu ili nadržaj; karakteriše ga bol, otok, crvenilo i pečenje.",0,1
osoba koja ne prihvata nove ideje,0,1
veoma odbojan,0,1
ponašanje koje nije u skladu sa prihvaćenim standardima,1,0
izneti optužujuću tvrdnju,1,0
"Koji nije originalan; nije produktivan, ne donosi ništa neobično niti sveže.",0,1
smanjenje u veličini organa usled bolesti ili nekorišćenja.,0,1
intenzivna ojađenost,0,1
svojstvo onoga kome nedostaje živost,0,1
"koji izaziva iznenađenje, čuđenje ili zadivljenost",0,1
stanje bez oštećenja ili propadanja,1,0
Načiniti nekoga besnim.,1,0
Učiniti slabim.,1,0
Koji više nema životne funkcije (ili bar tako izgleda).,0,1
Nedostatak darežljivosti; nesklonost da se da novac.,1,0
"Ono što nije lako, zahteva veliki fizički ili mentalni napor da bi se ostvarilo. razumelo ili izdržalo.",0,1
izazvati iznenadni strah u kome ili ispuniti koga iznenadnom panikom,1,0
smanjiti bol ili neprijatnosti ; ublažiti,1,0
grozničnica,1,0
Biti podvrgnut nečem neprijatnom.,1,0
Podvrgnuti nedobronamernom smehu.,1,0
učiniti da neko ili nešto ne bude osetljiv ili osetljivo,0,1
čin namernog odstupanja od istine,0,1
nemogućnost prisustva,1,0
svako odstupanje od zdravog ili normanog stanja,0,1
neprijateljski stav,0,1
Dobiti neku bolest.,1,0
Ispuštati vonj.,0,1
gubljenje sposobnosti da normalno funkcioniše,1,0
Kvalitet nekog ili nečega što ima slabiju ili manje poželjnu poziciju.,0,1
nedostatak pažnje (prema deci ili bespomoćnim ljudima),1,0
ponašati se na nekontrolisan način,1,0
na nižem nivou po rangu ili značaju,0,1
Stanje koje karakterišu osećanja u rasponu od blagog nezadovoljstva do dubokog bola.,0,1
Stanje koje još ne odgovara zrelosti.,0,1
nadmoćno osećanje straha i zebnje,1,0
