X,Predicted,Real
"Učiniti jednakim, ravnomernim, odgovarajućim ili saglasnim.",1,0
Umešnost u rukovanju koja potiče od vežbanja i dobrog poznavanja.,1,0
Stanje redovnog ili ispravnog poretka.,1,0
"Potpuno razvija osoba, od doba zrelosti nadalje.",1,0
Slaba sposobnost da se razume iskustvo ili profitira iz njega.,1,0
ispunjen divljenjem i ushićenjem,1,0
okoristiti se kakvim mogućnostima bez obzira na posledice za druge,1,0
Sloboda pojedinca da koristi svoja prava garantovana zakonima države.,1,0
Čin ili proces merenja.,0,1
Pravo zasnovano na zakonu,1,0
učiniti zadovoljnim,1,0
osoba koja voli ili je voljena,1,0
rad koji se obavlja sa drugima radi zajedničkog cilja ili koristi,1,0
Koji je karakterističan ili osoben ljudima naroda ili nacije.,1,0
"Koga karakteriše ili koji pokazuje prihvatanje, slaganje ili uverenost.",1,0
"prema hrišćanskoj etici jedna od tri vrline - vera, nada i ljubav date od Boga da zaokruže prirodne vrline",1,0
"učiniti da nešto postane sanitarno (bez bacila), npr.sterilizacijom",0,1
koji nema osećanja sažaljenja i topline,1,0
Imati izvesne dimenzije.,0,1
zlonamerno zadovoljstvo,1,0
"Koji privremeno nije aktivan, o vulkanima",0,1
Čin kojim se nešto čini čistim.,0,1
izuzetno dobar; ove reči se koriste za naglašavanje značenja drugih reči,0,1
Čin ukrašavanja nečega (u nadi da će od toga privlačnije izgledati).,1,0
Biti u saglasnosti.,1,0
Odsustvo kvaliteta koji bi činili nešto vrednim ili korisnim.,1,0
Obožavanje koje pripada samo Bogu,1,0
Pomoć u nevolji.,0,1
Osoba koja kreativno koristi svoj um.,1,0
Čin ili način na koji se nečega oslobađa.,1,0
Nešto što ima veličinu i može da se predstavi matematičkim izrazom pomoću konstane ili promenljive.,0,1
Zabava ili dokolica.,1,0
Osobina onoga što ne zaslužuje poverenje.,1,0
poseban i pamćenja dostojan period,1,0
razvijati se u pozitivnom smeru,0,1
onaj koji je po moralnim kvalitetima ili izgledu nalik na anđela ili sveca,0,1
Osloboditi prepreka.,1,0
Izjaviti za nekoga da nije kriv po krivičnim optužbama.,0,1
Sloboda od kontrole ili uticaja drugog ili drugih.,1,0
Prihvatati.,1,0
Urođeni kapacitet za nastanak nečega.,1,0
Onaj koji nije običan; nije konevencionalan ili konformist.,0,1
Znanje i vrednosti koje društvo deli.,1,0
Omotač koji treba da zaštiti nešto od oštećivanja ili povrede.,0,1
Stvoriti mišljenje o nečemu ili preneti stav.,0,1
kome nedostaje dobrog raspoloženja,1,0
Pravedni ili zakoniti deo nečega; finansijska uključenost u nešto.,1,0
Inherentni kompleks atributa koji određuju moralne i etičke akcije i reakcije osoba.,0,1
Čin procenjivanja ili prosuđivanja.,0,1
"Nemogućnost da se odmori, opusti ili bude miran.",1,0
Osloboditi restrikcija.,1,0
Ukloniti neželjene supstance iz nečega.,1,0
stanje suštinske jednakosti ili ekvivalencije i uravnoteženog balansa,1,0
Učiniti jednostavnijim ili lakšim ili mu smanjiti kompleksnost ili domet.,1,0
Trud pun napora za postizanje cilja.,1,0
Osoba koja doprinosi zadovoljenju potrebe ili pomaže postizanje namere.,1,0
Koji raskida sa tradicijom i opšte prihvaćenim.,1,0
Biti deo nečega ili biti svojstvo nečega.,1,0
Načiniti napetim.,0,1
not standard; not accepted as a model of excellence,1,0
"Stanje stvarnog, objektivnog postojanja.",1,0
Učiniti čistim uklanjanjem prljavštine ili neželjenih supstanci.,0,1
prilika za posebna veselja da obeleži neki srećan događaj,1,0
Velikog intenziteta ili snage.,1,0
i u metaforičkom značenju,0,1
gajiti osećanja dubokog poštovanja i straha pred autoritetom.,0,1
Izreći sud o nekome.,0,1
Čin kojim se nešto poboljšava.,1,0
naklonjenost prema nečemu,1,0
osoba koja je umrla i proglašena za sveca procesom kanonizacije,0,1
Stvoriti mišljenje o nečemu; suditi oprezno; napraviti procenu.,0,1
Osoba koja ima specijalna znanja ili sposobnosti koje vešto obavlja.,1,0
U kome nema života.,1,0
Koji se kreće.,0,1
koga odobrava ustav ili je u saglasnosti s ustavom ili funkcioniše u okvirima ustava,1,0
Sloboda od sumnje; vera u sebe i svoje sposobnosti.,1,0
Dobijanje nečeg nazad.,1,0
Spojen ili vezan.,0,1
"Koji je u skladu sa fiksiranim redosledom, procedurom ili principom.",0,1
Specijalna grupa koja je delegirana da razmotri neku stvar.,0,1
"koga zadovoljiti ili šarmirati, obično da bi se na njega uticalo",1,0
"Kojim se lako upravlja, koji ustupa.",0,1
Kategorija stvari koje se izdvajaju nekim zajedničkim karakteristikama ili kvalitetom.,1,0
Kvalitet nečega što nije adekvatno ili perfektno.,1,0
"Učiniti da nešto bude puno, može i u metaforičnom značenju.",1,0
pružiti moralnu ili emocionalnu snagu,0,1
Moderan čovek i neposredni prethodnici čoveka.,1,0
preparat koji se koristi za čišćenje nečega,0,1
Koji sledi prihvaćene običaje i pristojnost.,1,0
