X,Predicted,Real
prostorno svojstvo : način na koji jesam nešto smestiti . ,1,0
"vodozemac samo sa jedan , prednji para noga . Spoljašnje škrga zadrxavaju kao i Protej ceo život ; nemati očni kapak ; majušan oči se providiti kroz kožica koji ona pokrivati . ",1,0
koji jesam pisati kurzivni forma staroegipatskog pisma ,1,0
"zaliv arapski morati , između Iran i arapski poluostrvo ",1,0
studentkinja na koledž ili fakultet ,1,0
specijalan apstrakcija . ,1,0
briga o razlikovanje dobar i zao ili pravedan i nepravedan ; dobar ili pravedan ponašanje ,1,0
"divalj mačka sa kratak repa , obično sa šiljat uši ; cena se zbog krzno . ",1,0
srednjovekovan komad koji predstavljati epizoda iz život Isus Hrista ,1,0
optužnica koji odobravati velik porota ,1,0
uzdignuti se . ,1,0
čin uvođenje u svešteni čin ,1,0
objekt koji se moći videti i dodirnuti ; objekt koji bacati senka . ,1,0
držati u sebe ,1,0
Kućni sluga . ,1,0
francuski matematičar koji jesam razviti fFurijeovu analiza i izučavati provođenje toplota ,1,0
Način na koji se nešto konstruisati i raspored njegov delovati . ,1,0
sob u koji se držati zatvorenik ,1,0
sredstvo za čišćenje metenje ; snop slamka ili grančica prikačen na dugačak ručak ,1,0
zbir pojedinac čiji rad pomagati očuvanje zdravlje njihov klijent ,1,0
deo neki struktura koji imati neki specifičan karakteristika ili funkcija . ,1,0
proći poput urin ,1,0
obaj koji neposredno slediti po vreme ili red ,1,0
supstanca ili jedinjenje koji se dodavati da biti se izazvati hemijski reakcija ,1,0
"koji imati veseo karkater , jesam sklon briga . ",1,0
promena ka nešto manjem ili nizak ,1,0
mitološki sistm Grk i Rimljanin zajedno ; velik deo rimski mitologija jesam pozajmiti od Grk ,1,0
deo ljudski noga između koleno i skočni zglob ,1,0
"u računarstvo , jedan izvršavanje skupa instrukcija koji se ponavljati ",1,0
sportski grana koji razvijati dobar vožnu bicikl ili motocikl ,1,0
štampač koji štampati pojedinačan stranica odjednom ,1,0
Običan kućni komarac . ,1,0
koji imati ciklus koji trajati dva sezona . ,1,0
nalog koji se ovlašćivati policija da uhapsiti osumnjičen i izvesti ga pred sud ,1,0
ukloniti nečiji iznutrica . ,1,0
sudbina koji presti nit život ,1,0
stanovnik Urugvaj ili porekloim iz Urugvaj ,1,0
postati čvrst . ,1,0
Građevinska konstrukcija ( obično zakriviti ) koji služiti da premostiti otvor ( arhitektura ) . ,1,0
