X,Predicted,Real
informacija koji podržavati statistika procena budući događaj ,1,0
( klasičan mitologija ) zmija ( ili gušter ili zmaj ) sposoban da ubiti dah ili pogled ,1,0
stanje zatočenosti ( obično za kratak vreme ) ,1,0
spona napraviti od metal koji se koristiti za spajanje stvar ili za pravljenje ograda ili kavez ,1,0
Učiniti da nešto postati . ,1,0
napasti izneneda . ,1,0
mesec koji dolaziti posle avgust a pre oktobar u kalendar . ,1,0
jova ,1,0
engleski romantičrski pesnik čiji delo jesam inspirisati jeyerskom oblast u koji jesam provesti velik deo život ( @card@ ) ,1,0
pogoditi iznenada ,1,0
Osećanje averzija ili antipatija . ,1,0
velik ustanova višeg učenje s raznovrstan usmerenje koji služiti za obrazovanje za život i za struka i za dodela zvanje ,1,0
a flour mixture stiff enough taj knead Or roll ,1,0
"uređaj koji primati signal ili stimulans ( kao toplota , pritisak , svetlo ili poret ) i odgovarati na on na odgovarajući način ",1,0
osoba koji profesionalno komponovati ili izvoditi muzika ,1,0
relativan položaj u stepenovan niz . ,1,0
boginja lov i mesec ; ćerka Zevs i Let i sestra bliznakinja Apolon ; u rimski mitologija ona odgovarati boginja Dijana ,1,0
"biti povaliti , biti u horizontalan položaj . ",1,0
slikar koji moći da postignuti specijalan efekt pomoću boja . ,1,0
sistem koji jesam deo neki velik sistema ,1,0
prilika za poseban veselje da obeležiti neki srećan događaj ,1,0
zaključiti rezonovanje ,1,0
onaj koji proždirati velik količina hrana ili osećati velik glad ,1,0
operativan zahvat razrezivanje dušnik da biti se uvesti kaniti i omogućiti disanje kod opasnost od gušenje ,1,0
( o stih ) koji imati oblik zasnovati na broj slog a ne na ritmički uređenje bez naglašavanje ili brojanje ,1,0
gramatički odnos koji postojati kada reč kvalifikovati značenje sintagma ,1,0
poslati od jedan osoba ili mesto na drugi . ,1,0
merni instrument koji se mera udaljenost između dva tačka ,1,0
"promeniti u pogled priroda , svrha ili funkcija , naročito podvrgavanje hemijski promena ",1,0
"u medicina , biti kakav osećaj ili promena u telesni funkcija koji pacijent doživljavati a povezivati se s određenom bolest . ",1,0
zreti jalapeno čio paprika osušen za potreba kuvanje ,1,0
dobiti ,1,0
odsustvo kvalitet koji biti činiti nešto vredan ili korisnim . ,1,0
spojiti se u jedan . ,1,0
kontrolni sistem s povratan petlja koji jesam aktivan ,1,0
proizvoljan pisan ili štampan znak koji jesam primiti konvencionalan značenje . ,1,0
Primog . ,1,0
"Učiniti velik ili širok po boimu , zapremina i količina . ",1,0
visok tačka planina ,1,0
"nastati , početi postojati ",1,0
elektronski uređaj koji pojačavati snaga signal koji kroz on prolaziti . ,1,0
Oštećenje normalan fiziološki funkcija koji pogađati deo ili ceo organizam . ,1,0
"ručni alat sa tanak fleksibilan sečivo , koji se koristiti za mešanje ili širenje mek supstanca ",1,0
