X,Predicted,Real
izgubiti svaku nadu,1,0
"Odgovor telesnog tkiva na povredu ili nadržaj; karakteriše ga bol, otok, crvenilo i pečenje.",0,1
veoma odbojan,0,1
ponašanje koje nije u skladu sa prihvaćenim standardima,1,0
Tresti se kao od hladnoće ili straha.,1,0
smanjenje u veličini organa usled bolesti ili nekorišćenja.,0,1
svojstvo onoga kome nedostaje živost,0,1
"koji izaziva iznenađenje, čuđenje ili zadivljenost",0,1
"biti uplašen, plašiti se",0,1
stanje bez oštećenja ili propadanja,1,0
Načiniti nekoga besnim.,1,0
Učiniti slabim.,1,0
Nedostatak darežljivosti; nesklonost da se da novac.,1,0
zlonamerno zadovoljstvo,0,1
Stanje bezvlašća i nereda (obično kao rezultat pada vlade).,1,0
izazvati iznenadni strah u kome ili ispuniti koga iznenadnom panikom,1,0
smanjiti bol ili neprijatnosti ; ublažiti,1,0
Biti podvrgnut nečem neprijatnom.,1,0
Podvrgnuti nedobronamernom smehu.,1,0
učiniti da neko ili nešto ne bude osetljiv ili osetljivo,0,1
čin namernog odstupanja od istine,0,1
nemogućnost prisustva,1,0
svako odstupanje od zdravog ili normanog stanja,0,1
Dobiti neku bolest.,1,0
"Beskorisna aktivnost; koristiti, rasipati ili trošiti bez razmišljana i neodgovorno.",1,0
Tresti brzo i nevoljno.,1,0
moralno iskvariti,0,1
veseo i ozaren,1,0
Ispuštati vonj.,0,1
gubljenje sposobnosti da normalno funkcioniše,1,0
nedostatak pažnje (prema deci ili bespomoćnim ljudima),1,0
nešto ne funkcioniše kako treba,1,0
koji tek što nije zaspao,1,0
ponašati se na nekontrolisan način,1,0
na nižem nivou po rangu ili značaju,0,1
nadmoćno osećanje straha i zebnje,1,0
Teško raditi.,1,0
