Sysnet,POS,Predicted
b'nesmanjen i nenaru\xc5\xa1en celovitost ili ukupnost . ',1,0
b'koji ose\xc4\x87ati ili ispoljavati velik uzbu\xc4\x91enje ili zainteresovanost ',1,0
b'ose\xc4\x87anje naklonost prema neki ili ne\xc4\x87emu dobar ',1,0
b'okarakterisan prijateljstvo i dobar volja ',1,0
b'koji \xc4\x8diniti ili donositi dobro ',1,0
b'na visok nivo po rang ili zna\xc4\x8daj ',1,0
"b'koji ohrabrivati , odobravati ili zadovoljavati '",1,0
b'biti veoma primetati . ',1,0
b'koji inavodi na divljenje ili odobravanje ',1,0
b'pozitivan ili negativan kvalitet ne\xc5\xa1to \xc5\xa1to ga \xc4\x8diniti po\xc5\xbeeljan ili vredan . ',1,0
b'Apolutno va\xc5\xbeno . ',1,0
b'ose\xc4\x87anje prijateljstvo i uva\xc5\xbeavanje ',1,0
b'revnostan u posve\xc4\x87enost i privr\xc5\xbeenost ',1,0
b'koji mo\xc4\x87i ponovo da se koristiti ',1,0
"b'koji se \xc5\xbeeti , tra\xc5\xbeiti '",1,0
b'koji donositi dobar profit ',1,0
b'koji koristiti intelekt ili jesam privla\xc4\x8dan intelekt . ',1,0
b'koji ispoljavati pogodan ili povoljan uticaj ',1,0
b'biti privla\xc4\x8dan koji ',1,0
b'onaj koji imati visok vrednost ili cena ; ',1,0
"b'biti zdrav , ose\xc4\x87ati se dobro . '",1,0
b'umetnik nenadma\xc5\xa1an ve\xc5\xa1tina . ',1,0
b'ose\xc4\x87ati zadovoljstvo zbog ne\xc5\xa1to ',1,0
b'zaokupiti na prijatan ili zabavan na\xc4\x8din . ',1,0
b'moralan ispravnost ',1,0
"b'kvalitet koji \xc4\x8diniti daa jesam ne\xc5\xa1to po\xc5\xbeeljan , vredan ili korisno . '",1,0
b'koji izra\xc5\xbeavati ili propovedati obo\xc5\xbeavanje bo\xc5\xbeanstvo . ',1,0
b'blagonaklon procena ',1,0
"b'u\xc4\x8diniti da ne\xc5\xa1to postati sanitarni ( bez bacil ) , replaced-dns '",1,0
b'diviti se i \xc4\x8duditi ne\xc5\xa1to ',1,0
b'ose\xc4\x87ati se veselo i biti ispuniti dobar raspolo\xc5\xbeenje ',1,0
b'oporavak ili na\xc4\x8din \xc4\x8duvanje od gubitak ili opasnost . ',1,0
b'stanje kada jesam neki prosperitetan i uspe\xc5\xa1an . ',1,0
b'koji imati uro\xc4\x91en sklonost prema dobrota ',1,0
b'radnja koji karakterisati dobro raspolo\xc5\xbeenje ',1,0
"b'u skolastika , jedan od \xc4\x8detiri vrlina koji dolaziti od priroda . '",1,0
"b'onaj koji u\xc5\xbeivati ili pokazivati radost , zadovoljstvo ili sre\xc5\xa1u . '",1,0
