Sysnet,NEG,Predicted
b'koji ose\xc4\x87ati ili izazivati radost ',0,1
"b'( politika ) obezbe\xc4\x91ivati usluga , ugovor i pozicija u zamjenu za politi\xc4\x8dki podr\xc5\xa1ka '",1,0
b'nesposobnost osoba da se setiti ili uraditi onaj \xc5\xa1to obi\xc4\x8dno mo\xc4\x87i ; \xc4\x8desto uzrokovati emoionalnom napetost . ',1,0
b'podsticati neki da po\xc4\x8diniti zlo\xc4\x8din ili neki krivi\xc4\x8dan delo ',1,0
b'koji ispoljavati \xc5\xbealost ',1,0
"b'koji karakeri\xc5\xa1e ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . '",0,1
b'neki ko proizvoditi ne\xc5\xa1to . ',1,0
b'Not standard ; Not accepted as a model of excellence ',1,0
b'koji jesam klonuo duh ',1,0
b'promena u nizak stanje ( manje po\xc5\xa1tovati ) ',1,0
b'u koji nem \xc5\xbeivot . ',1,0
"b'nezgoda , posebno ona koji prouzrokovati povreda ili smrt . '",1,0
b'uni\xc5\xa1titi ili veoma o\xc5\xa1tetiti vatra ',1,0
b'Pro\xc5\xa1ireno zna\xc4\x8denje ; posebno se odnositi na psiholo\xc5\xa1ki hladno\xc4\x87a ; bez ljudski toplina i emocija . ',1,0
b'radnik koji jesam najamiti da obaviti posati . ',0,1
b'onaj koji jesam oblikovan ili disciplinovan ve\xc5\xbeba ',0,1
b'stanje kada jesam u\xc4\x8diniti prekr\xc5\xa1aj . ',1,0
b'povu\xc4\x87i se ',1,0
b'koji vi\xc5\xa1e nemati \xc5\xbeivotan funkcija ( ili bar tako izgledati ) . ',1,0
b'proglasiti kriv ( utvrditi krivica ) ',1,0
b'nesposoban da delovati : bez pomo\xc4\x87 ',1,0
b'postati gora . ',1,0
b'Pri\xc4\x8dati na besposlen ili neobavezan na\xc4\x8din sa element sumnja ili bez dovoljno razlog da se do\xc4\x87i do zaklju\xc4\x8dak . ',1,0
b'poseban oblik sagre\xc5\xa1enje ',1,0
b'emocionalan poreme\xc4\x87enost ; osnovni ose\xc4\x87anje koji ljudi poku\xc5\xa1avati da izbegnuti . ',1,0
b'koji drugi \xc5\xbeeti zlo ; koji nastajati iz velik zloba ili mr\xc5\xbenja . ',1,0
b'iznenadno stanje \xc5\xbeestok emocionalan uznemirenost ',1,0
"b'govoriti nerazgovetno , obi\xc4\x8dno tih glas . '",1,0
b'\xc5\xbealostan zbog gubitak ili uskra\xc4\x87enosti ',1,0
b'Ose\xc4\x87ati sna\xc5\xbean antipatija i odbojnost prema neki . ',1,0
b'duboko dirnuti . ',1,0
b'bolan ose\xc4\x87aj koji proizlaziti iz svest o nedovoljnost ili krivica ',1,0
b'\xc4\x8cin o\xc5\xa1te\xc4\x87ivanje ne\xc5\xa1to ili neki . ',1,0
b'tako stra\xc5\xa1no da izazivati groza i jeza ',1,0
b'ose\xc4\x87anje naklonost prema neki ili ne\xc4\x87emu dobar ',0,1
b'na nizak nivo po rang ili zna\xc4\x8daj ',1,0
b'postati lo\xc5\xa1 . ',1,0
b'postati nestabilan . ',1,0
b'obestan i uzbudljiv poduhvat ( ne nu\xc5\xbeno zakonit ) ',1,0
b'okrutno ili nehuman postupanje ',1,0
b'koji raskidati sa tradicija i op\xc5\xa1ti prihva\xc4\x87en . ',1,0
"b'Nemogu\xc4\x87nost da se odmoriti , opustiti ili biti miran . '",1,0
b'naneti neki nepravda ',1,0
