Sysnet,POS,Predicted
"b'koji karakeri\xc5\xa1e ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . '",1,0
b'biti prihvatljiv ili pristati . ',1,0
"b'koji pokazivati ili jesam motivisan saose\xc4\x87anje , razumevanje i velikodu\xc5\xa1nost '",1,0
"b'kvalitet koji \xc4\x8diniti daa jesam ne\xc5\xa1to po\xc5\xbeeljan , vredan ili korisno . '",1,0
b'osobina onaj ko jesam \xc5\xa1iroko prihvatiti i \xc4\x8diji se dru\xc5\xa1tvo tra\xc5\xbeiti . ',1,0
"b'koji se \xc5\xbeeti , tra\xc5\xbeiti '",1,0
b'profesor visok rang . ',1,0
b'ukloniti ne\xc5\xbeeljen supstanca iz ne\xc5\xa1to . ',1,0
b'lepota koji jesam privla\xc4\x8dan \xc4\x8dulo . ',1,0
b'koji proizvoditi ili jesam sposoban da proizvoditi ( posebno u velik koli\xc4\x8dina ) ',1,0
b'radnik koji jesam najamiti da obaviti posati . ',1,0
b'Ose\xc4\x87anje velik sre\xc4\x87a . ',1,0
b'kvalitet koji pru\xc5\xbeati zadovoljstvo \xc4\x8dulo . ',1,0
b'koji mo\xc4\x87i da se desiti ili da postojati . ',1,0
b'diviti se i \xc4\x8duditi ne\xc5\xa1to ',1,0
b'osoba koji se brina o ljudi i njihov svojina . ',1,0
b'Oslobo\xc4\x91en spolja\xc5\xa1nji kontrola i ograni\xc4\x8denje . ',1,0
b'na visok nivo po rang ili zna\xc4\x8daj ',1,0
b'\xc4\x8cin dodavanje spolja\xc5\xa1nji ukras na ne\xc5\xa1to . ',1,0
b'veseo ose\xc4\x87anje ',1,0
b'revnostan u posve\xc4\x87enost i privr\xc5\xbeenost ',1,0
b'ose\xc4\x87anje izazvati ne\xc5\xa1to \xc4\x8dudan i iznena\xc4\x91uju\xc4\x87i ',1,0
"b'stanje pozitivan ose\xc4\x87anje , od zadovoljstvo do jak ushi\xc4\x87enje . '",1,0
b'visok vrednost ne\xc5\xa1to . ',1,0
b'osoba \xc4\x8diji jesam svetost izuzetan ',1,0
b'velik bogatstvo . ',1,0
"b'koji ohrabrivati , odobravati ili zadovoljavati '",1,0
b'koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ',1,0
b'onaj koji posedovati moralan kvalitet ; ',1,0
b'stvoriti mi\xc5\xa1ljenje o ne\xc5\xa1to ili preneti stav . ',1,0
"b'koji karakterisati ili koji pokazivati prihvatanje , slaganje ili uverenost . '",1,0
b'biti \xc5\xa1ta u sklad sa princip pravda ',1,0
b'Omota\xc4\x8d koji trebati da za\xc5\xa1tititi ne\xc5\xa1to od o\xc5\xa1te\xc4\x87ivanje ili povreda . ',1,0
"b'imati po\xc5\xbeeljan ili pozitivan kvalitet , posebno onaj koji jesam pogodan za odre\xc4\x91enu stvar '",1,0
"b'Onak koji jesam produktivan , sve\xc5\xbe , neobi\xc4\x8dan ; ne\xc5\xa1to \xc5\xa1to jesam prvi put smi\xc5\xa1ljeno . '",1,0
b'koji ose\xc4\x87ati ili pokazivati dobro raspolo\xc5\xbeenje ',1,0
b'bez prljav\xc5\xa1tina ili ne\xc4\x8disto\xc4\x87a ; onaj koji imati navika da biti \xc4\x8dist ',1,0
b'Korisna ili vredan osobina ',1,0
b'koji mo\xc4\x87i da se redukovati ',1,0
b'koji odgovarati za svoj postupak . ',1,0
b'razvijati se u pozitivan smer ',1,0
b'koji nastajati iz \xc5\xbeelja da se doprineti blagostanje ili sre\xc4\x87a drugi . ',1,0
b'koji inavodi na divljenje ili odobravanje ',1,0
b'mo\xc4\x87i se koristiti i u vremenski smisao ',1,0
b'veseo i ozaren ',1,0
b'anga\xc5\xbeovati ili unajmiti za neki posao ',1,0
b'onaj koji jesam po moralan kvalitet ili izgled nalik na an\xc4\x91eo ili svetac ',1,0
b'onaj koji imati visok vrednost ili cena ; ',1,0
b'proceniti vrednost ne\xc5\xa1to . ',1,0
"b'li\xc4\x8dan sloboda od ropstvo , zarobljeni\xc5\xa1tvo i ugnjetavanje '",1,0
b'pristajanje uz onaj \xc5\xa1to jesam op\xc5\xa1te prihva\xc4\x87en . ',1,0
"b'onaj koji u\xc5\xbeivati ili pokazivati radost , zadovoljstvo ili sre\xc5\xa1u . '",1,0
b'briga o razlikovanje dobar i zao ili pravedan i nepravedan ; dobar ili pravedan pona\xc5\xa1anje ',1,0
b'koji donositi dobar profit ',1,0
b'kvalitet onaj \xc5\xa1to imati velik cena ',1,0
b'koji zaslu\xc5\xbeivati najvi\xc5\xa1e po\xc5\xa1tovanje i divljenje ',1,0
b'Ne\xc5\xa1to \xc5\xa1to imati veli\xc4\x8dina i mo\xc4\x87i da se predstaviti matemati\xc4\x8dki izraz pomo\xc4\x87u konstane ili promenljiv . ',1,0
b'koji ne\xc5\xa1to potvr\xc4\x91ivati ',1,0
"b'onaj \xc5\xa1to jesam u saglasnost s norma ili \xc5\xa1to \xc4\x8diniti norma ( standard , socijalan norma , ird ) . '",1,0
"b'u skolastika , jedan od \xc4\x8detiri vrlina koji dolaziti od priroda . '",1,0
b'osobina prefinjen ugla\xc4\x91enost i dobar ukus ',1,0
b'nadmo\xc4\x87an ili povoljan polo\xc5\xbeaj ',1,0
b'aktivnost \xc5\xa1ti\xc4\x87enje neki ili ne\xc5\xa1to . ',1,0
"b'osobina onaj koji jesam konstantno , postojano '",1,0
b'gajiti ne\xc5\xbean ose\xc4\x87anje prema neki . ',1,0
b'proizvesti smeh . ',1,0
"b'koji pobu\xc4\x91ivati po\xc5\xa1tovanje , divljenje ili \xc4\x8du\xc4\x91enje '",1,0
b'osobina ljudi da verovati u po\xc5\xa1tenje i pouzdanost drugi ',1,0
"b'U\xc4\x8diniti atraktivan dodavanje ukras , boja , i sl . '",1,0
"b'prijatan za o\xc4\x8di ili du\xc5\xa1a , posebno jer jesam lep ili \xc5\xa1armantan . '",1,0
b'Ose\xc4\x87anje naklonjenost drugi osoba ; u\xc5\xbeivanje u njihov dru\xc5\xa1tvo ',1,0
b'osoba koji jesam umreti i proglasiti za svetac proces kanonizacije ',1,0
b'velik po stepen ili intenzitet ili broj ili koli\xc4\x8dina . ',1,0
