Sysnet,NEG,Predicted
"b'Zavr\xc5\xa1iti pre kraj , kao ra\xc4\x8dunarski proces , misija itd . '",1,0
b'koji drugi \xc5\xbeeti zlo ; koji nastajati iz velik zloba ili mr\xc5\xbenja . ',1,0
b'ose\xc4\x87anje uporan tuga ',1,0
b'osetljivost na povreda ili napad ',1,0
"b'koji jesam originalan ; jesam produktivan , ne donositi ni\xc5\xa1ta neobi\xc4\x8dno niti sve\xc5\xbee . '",1,0
b'odbojnost do\xc5\xbeiviti kao odsustvo dru\xc5\xbeeljubivost . ',1,0
b'koji jesam spojiti ili vezati . ',1,0
b'taj neprekidan nerazumljiv zvuk ; obi\xc4\x8dno ga pratiti kretanje usna koji ne proivodi artikulisan govor . ',1,0
"b'biti la\xc5\xbeljiv , neiskren prema neki . '",1,0
b'lo\xc5\xa1e mirisati ',1,0
b'\xc4\x8din nameran odstupanje od istina ',1,0
b'patiti od ne\xc5\xa1to ; bolovati od ne\xc5\xa1to . ',1,0
b'ne biti podlo\xc5\xbean ne\xc5\xa1to . ',1,0
b'stanje kada jesam u\xc4\x8diniti prekr\xc5\xa1aj . ',1,0
b'povrediti ne\xc4\x8diji ose\xc4\x87anje ',1,0
b'kada nem jednakost ',1,0
b'nedostatak briga za dobrobit drugi ',1,0
b'Ose\xc4\x87anje velik \xc5\xbealost povezati sa gubitak ili li\xc5\xa1avanje . ',1,0
b'stanje degeneracija mentalan ili moralan kvalitet ',1,0
b'nesposobnost osoba da se setiti ili uraditi onaj \xc5\xa1to obi\xc4\x8dno mo\xc4\x87i ; \xc4\x8desto uzrokovati emoionalnom napetost . ',1,0
b'otarasiti se neki ubistvo . ',1,0
b'Ose\xc4\x87anja koji se javljati kada osoba jesam u sre\xc4\x87an stanje . ',1,0
b'ispuniti divljenje i ushi\xc4\x87enje ',1,0
b'koji ose\xc4\x87ati ili ispoljavati velik uzbu\xc4\x91enje ili zainteresovanost ',0,1
b'biti zabrinuti i prestra\xc5\xa1iti zbog ne\xc5\xa1to ',1,0
b'stanje u koji se malo novac i materijalan dobro . ',1,0
b'razgnevxlen ne\xc5\xa1to nepravedan ili pogre\xc5\xa1an ',1,0
"b'onaj koji se ne mo\xc4\x87i ukazati poverenje , u koji se ne mo\xc4\x87i pouzdati '",1,0
b'okoristiti se kakav mogu\xc4\x87nost bez obzir na posledica za drugi ',1,0
b'protivno zakon ili zakon zabraniti ',1,0
b'koji odrati ( po pitanje cena ) ; za \xc5\xa1ta nerazuman cena tra\xc5\xbeiti ',1,0
"b'zaprljati , one\xc4\x8distiti . '",1,0
b'bolest krv ili naru\xc5\xa1avanje funkcionisanje krvni \xc4\x87elija . ',1,0
"b'koji jesam normalan , tipi\xc4\x8dan , uobi\xc4\x8dajen , regularan ili jesam u saglasnost sa norma . '",1,0
b'koji izazivati strah ili u\xc5\xbeas ',1,0
b'preteran ili nekontrolisan strah ',1,0
b'koji nemati ili ne obavljati funkcija . ',1,0
b'prolivanje krv koji za posledica imati ubistvo ',1,0
b'koji odra\xc5\xbeavati sumornost i smrknutost ',1,0
b'Poku\xc5\xa1aj da se za sebe dobiti li\xc4\x8dan priznanje ( posebno neprihvatljiv sredstvo ) . ',1,0
b'koji izazivati ose\xc4\x87anje u\xc5\xbeas ',1,0
b'koji nemati ose\xc4\x87anje sa\xc5\xbealjenje i toplina ',1,0
b'divlja\xc4\x8dki i prekomeran ubijanje mnogi ljudi ',1,0
b'Ose\xc4\x87anje pomanjkanje briga . ',1,0
b'smanjiti bol ili neprijatnost ; ubla\xc5\xbeiti ',0,1
b'intenzivan oja\xc4\x91enost ',1,0
b'Onemogu\xc4\x87en i jesam slobodan ; ne mpo\xc5\xbee da delovati po sopstven volja . ',1,0
"b'onaj \xc5\xa1to jesam lako , zahtevati velik fizi\xc4\x8dki ili mentalan napor da biti se ostvariti . razumeti ili izdr\xc5\xbeati . '",1,0
b'opovrgavanje ili povla\xc4\x8denje prethodan tvrdnja . ',1,0
b'koji na sebe imati prljav\xc5\xa1tina ili ne\xc4\x8disto\xc4\x87a . ',1,0
