Sysnet,NEG,Predicted
b'stanje zato\xc4\x8denosti ( obi\xc4\x8dno za kratak vreme ) ',1,0
b'odbojnost do\xc5\xbeiviti kao odsustvo dru\xc5\xbeeljubivost . ',1,0
b'izazvati \xc5\xa1teta na ne\xc5\xa1to . ',1,0
b'koji trpiti atrofija ',1,0
b'neprijateljski stav ',1,0
b'koji nemati neki izrazit kvalitet ili karakteristika . ',1,0
b'koji jesam nesposoban da se jesam sna\xc4\x87i ',1,0
b'ose\xc4\x87anje misaon tuga ',1,0
"b'slabljenje ili degeneracija , posebno usled nekori\xc5\xa1\xc4\x87enja . '",1,0
b'izuzetno uvredljiv za moral ; koji izazivati u\xc5\xbeas ',1,0
b'okrutno ili nehuman postupanje ',1,0
b'\xc4\x8din nameran odstupanje od istina ',1,0
b'koji izazivati strah ili u\xc5\xbeas ',1,0
b'u koji nem \xc5\xbeivot . ',1,0
"b'onaj koji pro\xc5\xbeivljavati tuga , \xc5\xbealost ili nezadovoljtvo ili ozna\xc4\x8diti ona ili ona izazivati . '",1,0
b'koji jesam moralno lo\xc5\xbe ili pogre\xc5\xa1an . ',1,0
"b'koji misliti najgore o ljudski priroda i motiv ; koji imati podrugljiv neverica u , npr . u nesebi\xc4\x8dnost drugi '",1,0
"b'koji jesam okarakterisati mra\xc4\x8dan , misti\xc4\x8dan i groteska '",1,0
b'onesposobiti kretanje neki tako \xc5\xa1to se smestiti unutar neki granica . ',1,0
b'nezakonit ubijanje s predumi\xc5\xa1ljaj jedan \xc4\x8dovek od strana drugi . ',1,0
b'okrutan poslodavac koji od zaposlen tra\xc5\xbeiti da prekomeran raditi . ',1,0
"b'koji jesam popustljiv , koji se te\xc5\xa1ko upravljati . '",1,0
b'okarakterisan neprijateljstvo ili zlovolja ',1,0
"b'koji ne tra\xc5\xbeiti , ne iziskivati specijalan nutricione potreba '",1,0
b'ratobornost izazvati stvaran ili pretpostavljen nepravda ( predstaviti kao jedan od smrtan greh ) ',1,0
b'protivno zakon ili zakon zabraniti ',1,0
b'obestan i uzbudljiv poduhvat ( ne nu\xc5\xbeno zakonit ) ',1,0
"b'( politika ) obezbe\xc4\x91ivati usluga , ugovor i pozicija u zamjenu za politi\xc4\x8dki podr\xc5\xa1ka '",1,0
b'ispuniti divljenje i ushi\xc4\x87enje ',1,0
b'otarasiti se neki ubistvo . ',1,0
b'stanje sumoran \xc5\xbealost ',1,0
b'pojava promeniti nagore . ',1,0
b'onaj koji jesam potreban ',1,0
b'O\xc5\xa1te\xc4\x87enje normalan fiziolo\xc5\xa1ki funkcija koji poga\xc4\x91ati deo ili ceo organizam . ',1,0
b'stanje u koji \xc4\x8dovek ne mo\xc4\x87i da funkcionisati normalno i bez bol . ',1,0
b'neprijatan ili razo\xc4\x8daravaju\xc4\x87i iznena\xc4\x91enje ',1,0
b'okrutan \xc4\x8din ; namerno izazivanje bol ili patnja . ',1,0
b'\xc4\x8cin prljanje ne\xc5\xa1to . ',1,0
b'Ose\xc4\x87aj koji se do\xc5\xbeivljavati u o\xc4\x8dekivanje neki odre\xc4\x91enog bol ili opsasnosti i obi\xc4\x8dno ga pratiti \xc5\xbeelja da se pobe\xc4\x87i . ',1,0
b'\xc4\x8cin o\xc5\xa1te\xc4\x87ivanje ne\xc5\xa1to ili neki . ',1,0
b'stanje biti nezaposlen ili nemati posati . ',1,0
b'svaki \xc5\xa1teta proiste\xc4\x87i iz povreda prava ',1,0
b'koji izazivati ose\xc4\x87anje u\xc5\xbeas ',1,0
b'Ose\xc4\x87anje velik \xc5\xbealost povezati sa gubitak ili li\xc5\xa1avanje . ',1,0
b'velik ( glavobolja ) . ',1,0
b'koji zaslu\xc5\xbeivati sa\xc5\xbealjenje ili podsticati na sa\xc5\xbealjenje ',1,0
b'onaj \xc5\xa1to jesam u suprotnost sa princip pravda ili zakon ',1,0
b'pod uticaj patnja i tuga ili ispuniti ovaj ose\xc4\x87anje ',1,0
b'koji ne mo\xc4\x87i da se desiti ili ostvariti ili s koji se ne mo\xc4\x87i rukovati . ',1,0
"b'onaj \xc5\xa1to jesam lako , zahtevati velik fizi\xc4\x8dki ili mentalan napor da biti se ostvariti . razumeti ili izdr\xc5\xbeati . '",1,0
b'imati ne\xc5\xbeeljen ili negativan kvalitet ',1,0
b'Uni\xc5\xa1titi ili o\xc5\xa1tetiti na nasilan na\xc4\x8din . ',1,0
b'nenormalan depresija i nezadovoljstvo ',1,0
b'osobina onaj ko jesam prihvatiti i ne upu\xc4\x87ivati on se pohvaliti . ',1,0
b'stanje koji jo\xc5\xa1 ne odgovarati zrelost . ',1,0
b'Ose\xc4\x87anje averzija ili antipatija . ',1,0
b'izazvati povreda ili telesni o\xc5\xa1te\xc4\x87enje . ',1,0
b'kvalitet neki ili ne\xc5\xa1to \xc5\xa1to imati slab ili manje po\xc5\xbeeljan pozicija . ',1,0
"b'govoriti nerazgovetno , obi\xc4\x8dno tih glas . '",1,0
"b'smear with blood , as In a hunting initiation rit , where the faca of a person is smeared with the blood of the kill '",0,1
b'intenzivan oja\xc4\x91enost ',1,0
b'koji nedostajati ljubaznost . ',1,0
b'simptom neki fizi\xc4\x8dki povreda ili poreme\xc4\x87aj . ',1,0
b'osobina onaj \xc5\xa1to ne zaslu\xc5\xbeivati poverenje . ',1,0
b'svojstvo onaj koji nedostajati \xc5\xbeivost ',1,0
b'neki nizak rang ili polo\xc5\xbeaj ili kvalitet . ',1,0
b'lo\xc5\xa1e mirisati ',1,0
b'na nizak nivo po rang ili zna\xc4\x8daj ',1,0
b'kvalitet neki ili ne\xc5\xa1to \xc5\xa1to jesam va\xc5\xbean ili vredan pa\xc5\xbenja . ',1,0
b'koji jesam u dobar zdravlje telo ili duh . ',1,0
b'Obla\xc4\x8diti se u crn kao znak \xc5\xbealost . ',1,0
b'koji nemati ose\xc4\x87anje sa\xc5\xbealjenje i toplina ',1,0
"b'osobina varijabilnost , izmenljivost ili nestajanje u vreme '",1,0
