X,Predicted,Real
koji oseća ili izaziva radost,1,0
"Koji je, odnosi se ili uključuje saznanje.",1,0
"(politika) obezbeđivati usluge, ugovore i pozicije u zamjenu za političku podršku",0,1
Nesposobnost osobe da se seti ili uradi ono što obično može; često uzrokovana emoionalnom napetošću.,0,1
"Jelen, irvas, los",1,0
Smanjiti intenzitet nečega; obuzdati; zadržati u granicama.,1,0
Osoba koja se brina o ljudima i njihovoj svojini.,1,0
Nešto što je zapoveđeno.,1,0
odbijanje da prepoznate nekoga koga znate,1,0
Nešto što ljudi rade ili što se zbog ljudi dogodi,1,0
Indonežanska divlja svinja sa ogromnim krivim zubima.,1,0
"Koga karakeriše ili koji pokazuje odbijanje, poricanje ili suprotstavljanje; koji nema pozitivna svojstva.",1,0
Neko ko proizvodi nešto.,0,1
"nešto što nije sigurno, što je pod sumnjom",1,0
ispuniti slutnjom ili uznemirenošću; izazvati neprijatnu iznenađenost,1,0
not standard; not accepted as a model of excellence,0,1
Zgrada koja je izdeljena u stanove.,1,0
koji je klonuo duhom,0,1
Započeti ili voditi rat.,1,0
promena u niže stanje (manje poštovano),0,1
U kome nema života.,0,1
"Lišiti se, okaniti se čega, odbaciti.",1,0
Izjaviti za nekoga da nije kriv po krivičnim optužbama.,1,0
radnja koju karakteriše dobro raspoloženje,1,0
Prošireno značenje; posebno se odnosi na psihološku hladnoću; bez ljudske topline i emocija.,0,1
Zanimanje za koje je neko plaćen.,1,0
Suma isplaćenog novca.,1,0
čin umirivanja; ponovno zadobijanje čijeg poverenja,1,0
"jako tvrd italijanski sir oštrog ukusa, pogodan je za rendanje",1,0
povući se,0,1
"U pravu, neko ko je zakonski poseduje posao.",1,0
"Sresti se s nečim, na primer slučajno.",1,0
"Ono što je u saglasnosti s normom ili što čini normu (standard, socijalnu normu, ird).",1,0
Ubijanje čoveka od strane drugog čoveka.,1,0
Koji više nema životne funkcije (ili bar tako izgleda).,0,1
nesposoban da deluje: bez pomoći,0,1
Postati gori.,0,1
Pričati na besposlen ili neobavezan način sa elementom sumnje ili bez dovoljno razloga da se dođe do zaključka.,0,1
priznaš svoju veru u šta ili privrženost čemu,1,0
poseban oblik sagrešenja,0,1
zabranjeno zakonom ili zvanično usvojenim pravilima,1,0
"Govoriti nerazgovetno, obično tihim glasom.",0,1
Praviti nabore na glatkoj povtšini.,1,0
Ljudska tvorevina koju je neko stvorio.,1,0
Predložiti za prihvatanje ili odbijanje.,1,0
Duboko dirnuti.,0,1
Čin oštećivanja nečega ili nekoga.,0,1
osećanje naklonosti prema nekome ili nećemu dobrom,1,0
na nižem nivou po rangu ili značaju,0,1
Osećanje naklonjenosti drugim osobama; uživanje u njihovom društvu,1,0
Sumnjati ili izražavati sumnjičave spekulacije.,1,0
Postati lošije.,0,1
"saglasno zakonu, prema zakonu",1,0
aritmetička sredina apsolutnih vrednosti devijacija od sredine distribucije,1,0
Postati nestabilan.,0,1
Koncept ili ideja koja nije povezana ni sa jednom posebnom pojavom.,1,0
Okružiti nekoga tako da se primora na predaju.,1,0
"Izazvati ljutnju, bes.",1,0
naneti nekome nepravdu,0,1
Ljudsko biće.,1,0
Kvalitet onoga ko je brižljiv i pažljiv.,1,0
Sastavljati od komponenata ili delova.,0,1
mesto na kojem ljudi glasaju,1,0
Koji nema neke izrazite kvalitete ili karakteristike.,1,0
"Osobina nekoga ko je veličanstven, briljantan",1,0
"Napraviti nered, uništiti.",0,1
nauka o kriminalitetu i počiniocima kriminalnih dela,1,0
"tikva sa čvrstom korom i izduženim, krivim vratom",1,0
ispitivanje i disekcija umrlog da bi se utvrdio uzrok smrti ili promene koje je izazvala bolest,1,0
Čin konstruisanja nečega (kao masšinskog dela).,0,1
Opšti progresivan rast cena.,1,0
"Koga karakteriše ili koji pokazuje prihvatanje, slaganje ili uverenost.",1,0
Izazvati štetu na nečemu.,0,1
Smanjiti po opsegu zadržavajući suštinske elemente.,1,0
odbiti s gnušanjem,0,1
govornička figura u kojoj je namerno poremećen red rečenoičnih delova,1,0
Oružje koje ubija ili ranjava civile i vojna lica.,1,0
koji se odnosi na ili pripadaja ili karakteriše visoko društvo,1,0
odbrambeni mehanizam u kojem se sećanje na neprihvatljiv akt ili impuls razdvaja od emocije s kojom je prvobitno bilo povezano,1,0
Čin prevare.,0,1
Čin prljanja nečega.,0,1
Učiniti ružnim.,0,1
konačna presuda kojom je okončan slučaj pred sudom posle iscrpljenih postupaka po žalbi,1,0
Ukloniti posvećenost sa osobe ili objekta.,0,1
koji oseća nadolazeću opasnost,0,1
loše mirisati,0,1
pešadinac koji je naoružan musketom,1,0
odnosi se na društva kojima nedostaje kapital za industrijalizaciju,1,0
Čin kojim se sloboda neke osobe ograniči tako što se ona zatoči,0,1
okoristiti se kakvim mogućnostima bez obzira na posledice za druge,0,1
Odsustvo kvaliteta koji bi činili nešto vrednim ili korisnim.,0,1
Koji ne može da se desi ili ostvari ili s kojim se ne može rukovati.,0,1
Oštećenje normalne fiziološke funkcije koje pogađa deo ili ceo organizam.,0,1
Procena vrednosti poslovanja.,1,0
stvari ponuđene na prodaju,0,1
Osećanje velike sreće.,1,0
"Stanje u kome je neko bogat, ima obilno materijalnih dobara i novca.",1,0
Čin nanošenja rane.,0,1
Osećanje samopoštovanja i lične vrednosti.,1,0
Gledati sa čuđenjem; gledati glupavo.,1,0
okarakterisan prijateljstvom i dobrom voljom,1,0
"Stanje u kome su ljudi, ideje ili interesi suprotstavljeni.",1,0
"biti izdat, objavljen",1,0
Uvesti problem ili pitanje koje treba da se reši.,1,0
koji izaziva potištenost,0,1
Brgljez.,1,0
Koga motiviše briga za otklanjanje patnji drugih.,1,0
Kvalitet onoga što ne može da postoji ili radi u usklađenoj kombinaciji.,0,1
"Ruski pesnik, umro u zatvoru (1891-1938).",1,0
stanje opuštenosti i neosećanja bola,1,0
"koji misli najgore o ljudskoj prirodi i motivima; koji ima podrugljivu nevericu u, npr. u nesebičnost drugih",0,1
