X,Predicted,Real
Čin koji se nešto posvećivati tako što se kroz neki crkven obred izdvajati kao posvetiti bog . ,1,0
staviti u uspravan položaj . ,1,0
mužjak u proleće imati ogrlica od perje dok jesam ženka bez ona i mnogo manja ,1,0
zagovornik secesionizam ,1,0
štampan materijal ( tekst i slika ) proizvesti dubok štampa na rotacioni presa ,1,0
biti koji neklasičan dijalekt latinski ,1,0
uključiti u lista ili spisak ,1,0
drevan kraljevstvo u južnoj Mesopotamija ,1,0
CO ,1,0
slatkiš od čokolada ,1,0
invazivna radiološki metoda snimanje spinalnog kanal kičma i kičmeni moždina ,1,0
učenje po koji se sav pojaviti u priroda i društvo svoditi na mehanički kretanje materija ,1,0
pravougaon komad upijajuće tkanina ( ili papir ) za sušenje ili brisanje ,1,0
Teško raditi . ,1,0
grana biologija koji se baviti razvoj malformacija ili ozbiljan devijacija ( odstupanje ) od normalan tip organizam ,1,0
Brgljez . ,1,0
neki ko nabavljati i održavati zaliha dobro ya prodaja . ,1,0
Jaka zelen liker aromatizovan pelin i anis . ,1,0
mesto stanovanje vojni osoblje ,1,0
"morfema koji se ne moći upotrebiti samostalno , već se javljati samo kao deo reč ",1,0
koji predtsvlja suštinski komponenta ,1,0
Draguxar koji proizvoditi nakit od zlato . ,1,0
"softver koji olakšavati kreiranje , održavanje i korišćenje baza podatak ",1,0
"imati poželjan ili pozitivan kvalitet , posebno onaj koji jesam pogodan za određenu stvar ",1,0
mitski grčki junak koji se boriti protiv Troja u Ilijada ,1,0
"rođenje dete , završetak trudnoća tj . gestacijskog perioda porađanje jedan ili više novorođenče iz ženin uterus . ",1,0
objaviti da jesam neki umreti osoba blagosiljati što jesam prvi korak ka njen proglašenje za svetac ,1,0
Čin konstruisanje ili građenje nešto . ,1,0
izučavanje poetski delo ,1,0
ljulj ,1,0
prirodan zaštitini telesni pokrivač u koji jesam smestiti čuti dodir . ,1,0
znak interpunkcija ( . ) koji se stavljati na kraj izjavne rečenica ili iza skraćenica ,1,0
prostorija u koji moći da presvlačiti odeća . ,1,0
divljenje Engleska i engleski običaj ,1,0
"staviti na mesto drugi , razmeniti prividno jednak entitet . ",1,0
osoba koji se brina o ljudi i njihov svojina . ,1,0
Mesec koji dolaziti posle februar a pre april u kalendar . ,1,0
mleko dobiti od koza ,1,0
prikupiti zajedno . ,1,0
uzan moreuz koji odvajati severno od južnog ostrvo Novog Zeland ,1,0
posed čiji vlasništvo se promeniti ili isteći ,1,0
stajni ekstremitet donji udati kod kičmenjak . ,1,0
gaziran pića sa voćin sirup i malo fosforni kiselina ,1,0
Unutrašnji pasaž ili hodnik ka koji se sob otvarati . ,1,0
"koji pobuđivati poštovanje , divljenje ili čuđenje ",1,0
Živa u ljudski stanište . ,1,0
opšti naziv za piva dobijen sa dno pri fermentacija kvasac ( često pasiranje esencija ) ; prvobitno jesam praviti u mart ili april i sazrevati do septembar ,1,0
Račun u banka na koji se dobijati kamata . ,1,0
zakon donositi ili šta zakonodavnim put sprovoditi ,1,0
zagovornik neki ideologija ,1,0
insekt ; činiti pet šestina sav poznat životinjski vrtsa . ,1,0
Žičani instrument koji imati tipka . ,1,0
brak unutar sopstven pleme ili grupa kako taj zahtevati običaj ili zakon ,1,0
mrmoti ,1,0
deo probavni trakt koji počinjati od slep crevo a završavati se sa nusom . ,1,0
"skup koji jesam prazan , koji nem element ",1,0
strepnja u iščekivanje šta hteti se dogoditi ,1,0
aktivnost pripremanje . ,1,0
govorni zvuk koji jesam pratiti zvuk vokalan žica ,1,0
organizacija podzemlje . ,1,0
izlaziti teći postepeno . ,1,0
biti koji od raznih igra koji se igrati lopta ( okrugao ili ovalan ) u koji dva ekipa pokušavati da uputiti ili proneti ili uterati lopta u tuđ gol ,1,0
"saglasan zakon , prema zakon ",1,0
škola u okvir univerzitet koji nuditi studija koji voditi stupanj stručan sprema koji jesam iznad diplomski stupanj ,1,0
obično punjen i pečen ,1,0
upijati tečnost ili gas adsorpcija ili absorpcijomtake up a liquid Or a gas either by adsorption Or by absorption ,1,0
zaštitni prekrivač od metal koji prekrivati motor ,1,0
reč koji izražavati atribut nešto ,1,0
služba u koji ljudi pevati himna i zajedno se moliti ,1,0
jezero između jugozapadni Šajcarske i Francuska koji se istok na zapad presecati Rona ,1,0
materija naslagati neki prirodan proces . ,1,0
opšti ime za sav pustinja u Australija ,1,0
tr ,1,0
Zaštitini prekrivač koji obezbeđivati zaštita od vremenski prilika . ,1,0
postajati svetlo . ,1,0
"riban koren ren , obično zakiseljen ",1,0
koji imati određenu i visoko organizovan struktura ,1,0
tipičan zemaljski veverica . ,1,0
konjski muva . ,1,0
albatros . ,1,0
salamander . ,1,0
pročitati naglas da biti proveriti šta faliti ili ko jesam odsutan ,1,0
kružan ili rotirajući mehanizam ,1,0
mali prostor ograđan zid za specijalan namena ,1,0
supstanca koji jesam u fluidan stanje na sobni temperatura i pritisak . ,1,0
šnicla sa gornji delo kratak slabina ,1,0
grana biologija koji proučavati mikroorganizam i njihov uticaj na ljudi ,1,0
ćelija koji jesam deo tumor ,1,0
čin kombinovanje u integralan celina ,1,0
ljudi čiji krv imati isti protivtela . ,1,0
"lagan zaštitni šlem , od plastika ili metal , koji nositi radnik na građevina . ",1,0
probližavanje beskonačan red konačan granica ,1,0
most koji služiti za prelaz preko magistrala ili železnički pruga . ,1,0
davanje religiozan instrukcija ,1,0
iznenadan promena vlast obično uz upotreba sila ,1,0
Vazdušasto slatko punjen pecivo . ,1,0
električni uređaj takav da struja koji proticati kroz on u jendom kola moći da uključiti ili isključiti struja u drugi kola ,1,0
krupnozrna metamorfna stena sa slabo izražen ili diskontinuiran folijacija ,1,0
znak interpunkcija koji označavati da se tekst zagraditi ona pripisivati neki drugi ,1,0
radnja koji prodavati samo jedan vrsta roba . ,1,0
odlomak iseći iz novina ili časopis ,1,0
staviti u redosled za sudski postupak ,1,0
zauzeti mesto . ,1,0
praviti primedba ili žalba za sebe i ne na sav glas ,1,0
any of various small terrestrial isopods having a flat elliptical segmented bodž ; found in damp habitats ,1,0
ustanova u koji se igrati igra lopta ( posebno bejzbol ) ,1,0
