X,Predicted,Real
nesmanjen i nenarušen celovitost ili ukupnost . ,0,1
general visok rang ,1,0
koji osećati ili ispoljavati velik uzbuđenje ili zainteresovanost ,0,1
osoba sa neobičan ili čudan ličnost ,1,0
okarakterisan prijateljstvo i dobar volja ,0,1
koji činiti ili donositi dobro ,0,1
ponašanje koji jesam u sklad sa prihvaćen standard ,1,0
"koji ohrabrivati , odobravati ili zadovoljavati ",0,1
biti veoma primetati . ,0,1
koji inavodi na divljenje ili odobravanje ,0,1
Apolutno važno . ,0,1
kvalitet nešto što jesam adekvatno ili perfektno . ,1,0
osećanje prijateljstvo i uvažavanje ,0,1
neki nizak rang ili položaj ili kvalitet . ,1,0
zagovornik princip monarhija ,1,0
revnostan u posvećenost i privrženost ,0,1
koji moći ponovo da se koristiti ,0,1
"koji se žeti , tražiti ",0,1
koji donositi dobar profit ,0,1
koji koristiti intelekt ili jesam privlačan intelekt . ,0,1
koji ispoljavati pogodan ili povoljan uticaj ,0,1
na nizak nivo po rang ili značaj ,1,0
biti privlačan koji ,0,1
onaj koji imati visok vrednost ili cena ; ,0,1
"biti zdrav , osećati se dobro . ",0,1
kvalitet onaj što jesam teško otkriti ili analizirati . ,1,0
umetnik nenadmašan veština . ,0,1
kvalitet onaj ko jesam brižljiv . ,1,0
osećati zadovoljstvo zbog nešto ,0,1
zaokupiti na prijatan ili zabavan način . ,0,1
proizvoditi suviše . ,1,0
koji izražavati ili propovedati obožavanje božanstvo . ,0,1
blagonaklon procena ,0,1
prihvatiti neki u versaku zajednica ,1,0
"učiniti da nešto postati sanitarni ( bez bacil ) , replaced-dns ",0,1
diviti se i čuditi nešto ,0,1
kvalitet koji ne pružati zadovoljstvo čulo . ,1,0
osećati se veselo i biti ispuniti dobar raspoloženje ,0,1
zagovornik demokratski princip ,1,0
oporavak ili način čuvanje od gubitak ili opasnost . ,0,1
stanje kada jesam neki prosperitetan i uspešan . ,0,1
radnja koji karakterisati dobro raspoloženje ,0,1
"u skolastika , jedan od četiri vrlina koji dolaziti od priroda . ",0,1
