X,Predicted,Real
"Završiti pre kraj , kao računarski proces , misija itd . ",0,1
koji drugi žeti zlo ; koji nastajati iz velik zloba ili mržnja . ,0,1
sistem metoda koji se slediti u neki disciplina ,1,0
"koji jesam originalan ; jesam produktivan , ne donositi ništa neobično niti sveže . ",0,1
koji jesam spojiti ili vezati . ,0,1
taj neprekidan nerazumljiv zvuk ; obično ga pratiti kretanje usna koji ne proivodi artikulisan govor . ,0,1
"biti lažljiv , neiskren prema neki . ",0,1
kratkoročno prekidanje svest i smanjenje metabolizam ,1,0
čin nameran odstupanje od istina ,0,1
patiti od nešto ; bolovati od nešto . ,0,1
ne biti podložan nešto . ,0,1
stanje kada jesam učiniti prekršaj . ,0,1
ne ostvariti ni profit ni gubitak . ,1,0
tkivo koji se neki mekušac prihvatati za stena . ,1,0
kada nem jednakost ,0,1
oporavak ili način čuvanje od gubitak ili opasnost . ,1,0
nedostatak briga za dobrobit drugi ,0,1
"sračunat upotreba nasilje ( ili pretnja nasilje ) protiv civil kako biti se postignuti cilj koji jesam politički ili verski ili ideološki priroda - taj se radi zastrašivanje , prinuda ili ucena ",1,0
nesposobnost osoba da se setiti ili uraditi onaj što obično moći ; često uzrokovati emoionalnom napetost . ,0,1
otarasiti se neki ubistvo . ,0,1
Osećanja koji se javljati kada osoba jesam u srećan stanje . ,0,1
ispuniti divljenje i ushićenje ,0,1
koji osećati ili ispoljavati velik uzbuđenje ili zainteresovanost ,1,0
dati razlog za očekivanje . ,1,0
biti zabrinuti i prestrašiti zbog nešto ,0,1
stanje u koji se malo novac i materijalan dobro . ,0,1
"onaj koji se ne moći ukazati poverenje , u koji se ne moći pouzdati ",0,1
okoristiti se kakav mogućnost bez obzir na posledica za drugi ,0,1
protivno zakon ili zakon zabraniti ,0,1
koji odrati ( po pitanje cena ) ; za šta nerazuman cena tražiti ,0,1
"zaprljati , onečistiti . ",0,1
bolest krv ili narušavanje funkcionisanje krvni ćelija . ,0,1
"koji jesam normalan , tipičan , uobičajen , regularan ili jesam u saglasnost sa norma . ",0,1
osobina onaj što zasluživati poverenje . ,1,0
preteran ili nekontrolisan strah ,0,1
koji zasluživati uvažavanje i poštovanje ,1,0
neki ceniti atribut ili kvalitet . ,1,0
koji nemati ili ne obavljati funkcija . ,0,1
prolivanje krv koji za posledica imati ubistvo ,0,1
koji odražavati sumornost i smrknutost ,0,1
Pokušaj da se za sebe dobiti ličan priznanje ( posebno neprihvatljiv sredstvo ) . ,0,1
divljački i prekomeran ubijanje mnogi ljudi ,0,1
Osećanje pomanjkanje briga . ,0,1
smanjiti bol ili neprijatnost ; ublažiti ,1,0
intenzivan ojađenost ,0,1
Onemogućen i jesam slobodan ; ne mpože da delovati po sopstven volja . ,0,1
opovrgavanje ili povlačenje prethodan tvrdnja . ,0,1
koji na sebe imati prljavština ili nečistoća . ,0,1
