ID,POS,NEG,Lemme,Definicija
ENG30-03574555-n,0.0017873979322180489,0.00201891727368686,ustanova,zgrada u kojoj se nalazi organizaciona jedinica neke grane javnog poslovanja
ENG30-07810907-n,0.004112906664818006,0.002228908151596265,začin,pripremljeni dodatak jelu za poboljšanje ukusa
ENG30-00721431-n,0.051836173900172255,0.06436481691221907,mesto,"u nečijim prilikama, mogućnostima"
ENG30-00473799-v,0.009410673240723533,0.0044777034321450415,"obnoviti,doterati,uglancati,uljuditi",Ostalo je još samo da se doteraju neke finese u igri plavih.
ENG30-00903385-v,0.019168818478587646,0.03938951540470459,oprostiti,Zapad mu je oprostio što se nekada računao u Slobine prijatelje.
ENG30-00900961-v,0.0318087939544478,0.02279607992608934,oprostiti se,"""I najposle se oprostismo: on sklapanjem ruku, ja poklonom."""
ENG30-01987160-v,0.0019650630343441833,0.0029682837117199767,postaviti,Čeličnu grdosiju tešku ukupno 2160 tona postavili su na stubove i namontirali neimari Mostogradnje.
ENG30-01348174-v,0.001997730662188779,0.0023718392151215184,"zaključati,zabraviti",Sputati pomoću brave
ENG30-01376245-v,0.0025502230494218736,0.0024596835940080553,"rasuti,raštrkati,posuti,rasejati,rasturiti",Razmestiti na raštrkan način.
ENG30-01382083-v,0.0038573289218115647,0.0032294684949087937,"brati,sakupljati",Tražiti i sakupljati.
ENG30-01387022-v,0.0017914669550549434,0.0026186751164090083,"oturpijati,isturpijati,strugati",uglačati turpijom
ENG30-01393996-v,0.0024098834039021355,0.00420466866505631,pomesti,Očistiti metenjem.
ENG30-01421622-v,0.004537413599525308,0.002418736698661661,"ubaciti,umetnuti,staviti",Staviti ili ubaciti u nešto.
ENG30-01431987-v,0.08573980953876514,0.0027756425399019236,"golicati,škakljati,dražiti",Lagano dodirivati ili maziti.
ENG30-01437254-v,0.004504993919892897,0.0028141293569046155,"odaslati,izaslati,izdati","Uzrokovati ili narediti da se prenese, usmeri ili odašalje na drugo mesto."
ENG30-01441100-v,0.002227057894998552,0.006028642138772966,probušiti,Napraviti rupu u nečemu.
ENG30-01445932-v,0.0022071709528379557,0.0025924851789884684,"ujesti,ugristi","Uhvatiti, odgristi ili otrgnuti pomoću zuba ili kao zubima."
ENG30-01446901-v,0.0037484257031543677,0.0037905959893329566,"mahnuti,mahati,vitalati",Pomerati ili ljuljati napred-nazad.
ENG30-01371756-v,0.002933242911669076,0.002052554482790292,"šutnuti,voditi","Terati, voditi nogom, u sportovima kao što je futbal."
ENG30-01370561-v,0.002252357720030851,0.015076297043456144,šutnuti,Udariti nogom
ENG30-01391280-v,0.002235475418683741,0.0019932570434777475,"uvaljati,razviti",Poravnati ili raširiti valjkom.
ENG30-01435380-v,0.0028803491629867395,0.002160876397064193,"preneti,sprovesti",Poslati od jedne osobe ili mesta na drugo.
ENG30-01456771-v,0.01119638936096834,0.0026289816337268235,"štipati,štipnuti,stisnuti",Čvrsto stisnuti među prstima.
ENG30-01461328-v,0.002755786927571613,0.002223860176434833,"smešati,pomešati",Smešati u jednu celinu.
ENG30-01487311-v,0.002498403907988944,0.0031836487066492225,"opteretiti,otežati,natovariti",Natovariti teretom.
ENG30-01488956-v,0.003768638883664188,0.002454848204686222,utovariti,Napuniti ili natovariti do kraja.
ENG30-01489989-v,0.002663870902265053,0.0026004217579016498,"nakrcati,natovariti",Napuniti ili natovariti.
ENG30-01493619-v,0.16219093892456193,0.0017829189050306837,"smestiti se,zavaliti se",Čvrsto ili sigurno se smestiti.
ENG30-01528069-v,0.003038827973335323,0.011177305775611934,"smestiti,zabiti,zariti",Zabiti ili silom uterati.
ENG30-01536168-v,0.0023569733431543227,0.013183739834090602,"proprati,isplaknuti",Isprati sapun ili preostalu prljavštinu.
ENG30-01566705-v,0.00880846263140711,0.7513501334306625,"smrskati,skršiti",Uništiti ili oštetiti na nasilan način.
ENG30-01573515-v,0.003329093338999556,0.11589408922389488,"prekinuti se,preseći se,puknuti,rasparati",Razdvojiti ili učiniti da se nešto naglo razdvoji.
ENG30-01631534-v,0.007916466044787462,0.00417906110227495,"zamisliti,stvoriti umom","Stvoriti mentalno i apstraktno, a ne ručno."
ENG30-01634142-v,0.005787528748535387,0.0048164498758547225,"smisliti,isplanirati,zasnovati",Zamisliti neku ideju.
ENG30-01691057-v,0.0022475614672909927,0.002208878052831764,"crtati,pisati",Ostavljati ili crtati po površini.
ENG30-01723690-v,0.022839110559105258,0.003931578463196139,"oličavati,oličiti",Poprimiti ili glumiti nečiji karakter.
ENG30-01747374-v,0.018944695148082502,0.005122080001445539,prepisati,Pisati nešto ponovo kako jeste.
ENG30-01797051-v,0.04915388125788578,0.6651898940266312,"oplakati,tugovati,jadikovati,ožaliti",Osećati tugu.
ENG30-01824532-v,0.3667217138367036,0.205405825670276,želeti dobro,Osećati ili izražavati želju ili nadu za nečiju budućnost.
ENG30-01828405-v,0.21515124649642914,0.03875612825988739,"čeznuti,priželjkivati,žudeti",Jako ili neprekidno želeti.
ENG30-01866610-v,0.002338222503563969,0.0024987229107829023,"vrteti se,kotrljati se,valjati se",Vrteti se ili uzrokovati da se nešto vrti.
ENG30-01868370-v,0.004169571403216388,0.004040691260050799,"migoljiti se,uvrtati se,savijati se",Micati se uvijenim ili grčevitim pokretima (posebno u borbi).
ENG30-01876530-v,0.004249813220445375,0.0021785369133393573,ići tamo-amo,"Kretati se u jednom smeru, a zatim u suprotnom."
ENG30-01888946-v,0.0030286992364301213,0.010478057938136054,"drhtati,potresti se,treperiti,protresti se",Tresti se grčevito
ENG30-01902405-v,0.009360922987931453,0.0027860687332088574,"odjuriti,strugnuti,kidnuti,odmagliti",Kretati se žurno.
ENG30-01902783-v,0.0024391501999669885,0.0020473986721807336,"plutati,lelujati se",Biti u pokretu zbog neke struje vazduha ili vode.
ENG30-01909397-v,0.007821313506657823,0.0022271046701023423,"prevrnuti se,iskrenuti se",Okrenuti se iz uspravnog ili normalnog položaja.
ENG30-01911888-v,0.003277459697309304,0.022148096518102456,"ušunjati se,privući se,prikrasti se",Prići kradom ili krišom.
ENG30-01916634-v,0.02981273996119782,0.005922602288773504,"šepiriti se,šepuriti se,kerebečiti se,prsiti se,razmetati se","Hodati gordo, često pokušavajući da se impresioniraju drugi."
ENG30-01920932-v,0.005686107369228921,0.002639639468952737,dugo pešačiti,"Ići na dugo pešačenje, iz zadovoljstva ili telesne vežbe."
ENG30-01938426-v,0.002267463140873005,0.0019911062053719064,"skijati se,smučati se",Kretati se na skijama.
ENG30-01960911-v,0.0023605497870873293,0.0024180533681343874,plivati,Putovati kroz vodu.
ENG30-01977701-v,0.0026299706769874476,0.006133486993401327,ispustiti,Pustiti nešto da padne na zemlju.
ENG30-01983771-v,0.0028880696193009925,0.015788720120552213,promeniti položaj,Pretrpeti promenu u položaju tela.
ENG30-01993926-v,0.004907840770117744,0.009508559387557014,"primaknuti,prineti,približiti",Učiniti da nešto bude pomaknuto prema napred.
ENG30-02038357-v,0.003328919106760253,0.0020988729536917106,"nagnuti se,nagibati se,iskositi se,ukositi se",Nagnuti se ili saviti iz uspravnog položaja.
ENG30-02058448-v,0.005133738789937503,0.0029158946613287995,"vrpoljiti se,meškoljiti se,vrteti se",Micati se neprestano.
ENG30-02123672-v,0.03028840948111,0.010270904789032365,mirisati,Ispuštati miris.
ENG30-02125223-v,0.026183182600838073,0.16196146071324957,"namirisati,nanjušiti",Osetiti nečiji miris.
ENG30-01887576-v,0.18133104715916648,0.002684721094103004,"kliziti,klizati",Kretati se glatko i bez muke.
ENG30-01886488-v,0.0630578327725182,0.0025413859436760333,"puzati,gmizati,puziti",Prolaziti ili se kretati nenametljivo ili glatko.
ENG30-01587062-v,0.03349770459345258,0.0027395472209779115,"opkoliti,obuhvatiti",Potpuno okružiti.
ENG30-01467370-v,0.0026586703276958445,0.0022235117173519114,"okružiti,omeđivati,graničiti se",Protezati se istovremeno na sve strane.
ENG30-01976841-v,0.002468190811332427,0.0032124144059979542,"pasti,padati",Padati okomito.
ENG30-02157731-v,0.06373915294854005,0.17069696108548005,"zatamniti,zamagliti,pomračiti",Učiniti manje vidljivim ili nejasnim.
ENG30-02158587-v,0.055304905369066404,0.28166212697245996,"prerušiti,maskirati",Učiniti neprepoznatljivim.
ENG30-01334535-v,0.0021951207425345842,0.08120882599613566,"prikriti,zaogrnuti,zamaskirati",Sakriti pod lažnom pojavom.
ENG30-02163746-v,0.05135058547445315,0.0026683279413797223,"ugledati,spaziti,videti","Ugladati, opaziti očima."
ENG30-02165543-v,0.05059237700375263,0.006147905406081122,proučiti,Pažljivo ispitati.
ENG30-02186506-v,0.002684032635825062,0.008148288445608998,"zvečati,zveketati,zveckati",Proizvoditi ili emitovati prodoran zveketav zvuk.
ENG30-02188587-v,0.026023324831744077,0.0057619328344067355,"presti,zujati,zvrjati,fijukati,zviždati","Proizvoditi tih šuštav zvuk, kao kad motor radi ili krila lepršaju."
ENG30-02212825-v,0.018018422308797355,0.36931672472083044,"odbiti,uskratiti,odreći",Ne dati nekome šta mu pripada.
ENG30-02259005-v,0.0033272181035783888,0.0032783124925401808,trampiti se,Zameniti ili dati nešto u zamenu.
ENG30-02290461-v,0.3971417570157394,0.010147797469650222,"koristiti se,izvući korist,okoristiti se",Steći korist.
ENG30-02293321-v,0.0052167251631267675,0.00463252513852197,sprovesti,Predati nekoga ili nešto drugome.
ENG30-02324026-v,0.010498421517034728,0.003659488883634765,"pozajmiti,posuditi",Dobiti privremeno.
ENG30-02345647-v,0.005142733078410622,0.07431979439776182,"uzajmiti,pustiti,imati viška",Pozajmiti nešto što nije strogo potrebno.
ENG30-02349212-v,0.4594691489921674,0.004799166797266885,"poveriti,predati,dati",Ukazati poverenje kome.
ENG30-02378623-v,0.03850105500391354,0.10337263441255917,"reagirati,reagovati,opirati se,opreti se,kontrirati,oponirati,suprotstaviti se",Delovati protiv nečega.
ENG30-02384940-v,0.007634934584974218,0.004311111371396947,"ugostiti,pogostiti",Pozvati kao gosta.
ENG30-02437707-v,0.016696870369060868,0.006298735779865616,"paziti,brinuti se,voditi računa",Biti zadužen za nešto ili imati posla sa nečim.
ENG30-02485844-v,0.004033407671449218,0.003544277055261169,"sastati se,videti se",Ići sa nekim na sastanak.
ENG30-02506546-v,0.02038886232935777,0.013653433161610273,"obavezati,primorati",Prisiliti ili obavezati nekoga da uradi nešto.
ENG30-02570267-v,0.061592545423373224,0.3836007975672331,"razmaziti,raznežiti,povlađivati,kvariti",Ponašati se prema nekome sa preteranom popustljivošću.
ENG30-01752884-v,0.12221179175285624,0.013746343730967503,"omogućiti,rezultirati",Učiniti mogućim.
ENG30-02641035-v,0.007683589766243948,0.02848218352578069,"oklevati,zastati",Privremeno prekinuti aktivnost pre nego što se nastavi.
ENG30-02652494-v,0.002254418435449601,0.0024634966281604775,"boraviti,stanovati,biti stanar",Biti stanar; privremeno boraviti.
ENG30-02656390-v,0.010788829766203989,0.004055814586569895,"skloniti,zbrinuti,zaštiti",Obezbediti sklonište.
