X,Predicted,Real
koji osećati ili ispoljavati kajanje zbog nedelo ,1,0
"koji karakeriše ili koji pokazivati odbijanje , poricanje ili suprotstavljanje ; koji nemati pozitivan svojstvo . ",0,1
"cooking taj a brown crispiness over a fire Or on a grill ; "" proper toasting should brown both sides of a piece of bread "" ",1,0
Uložiti novac na ishod neki situacija . ,1,0
"spaliti , sažeći nešto oganj , vatra ",1,0
biti prihvatljiv ili pristati . ,0,1
izumro porodica : mastodont . ,1,0
osećanje zaplašenost ,1,0
neki ko pokušavati da probrati drugi u drugi vera ili dkotrinu . ,1,0
zaštitni prekrivka biljka sklon truljenje koji se postavljati da biti se smanjiti isparavanje i erozija zemljište ,1,0
vuga ,1,0
"koji pokazivati ili jesam motivisan saosećanje , razumevanje i velikodušnost ",0,1
o aktinomicetama ili koji pripadati rod Actinomycetes ,1,0
"osoba koji jesam steći diploma neki škola ( srednji škola , koledž ili fakultet ) ",1,0
rod porodica Lorisidae ,1,0
osobina onaj ko jesam široko prihvatiti i čiji se društvo tražiti . ,0,1
Pristupni put koji se sastojati od stepenik . ,1,0
"koji se žeti , tražiti ",0,1
nacrtati ili napisati skica ili nacrt ,1,0
profesor visok rang . ,0,1
"biti povaliti , biti u horizontalan položaj . ",1,0
pekidanje sednica ili sastanak ,1,0
metod ili sistem poboljšanje memorisanje ,1,0
ukloniti neželjen supstanca iz nešto . ,0,1
radnja u koji se muškarac šišati . ,1,0
koji se ticati Kristofer Kolumbo ,1,0
preslica ; poklapati se sa porodica Equisetaceae . ,1,0
jedan vrsta : tila . ,1,0
lepota koji jesam privlačan čulo . ,0,1
hemijski supstanca dobiti iz biljka koji jesam biološki aktivan ali nem nutritivni vrednost ,1,0
biljka iz rod Nigella ,1,0
koji ne pokazivati dovoljno pijetet prema bog . ,1,0
biti koji politički teorija kojapočiva na nemerenim i beskompromisan ​​stavovima ,1,0
"Sveže lišće , ili lišće konzervisati u sirće , koji se koristiti kao začin . ",1,0
koji pokazivati nedostatak briga za posledica . ,1,0
iz budan stanje preći u stanje spavanje ,1,0
obilno krvarenje kao posledica povreda krvni sud ,1,0
koji proizvoditi ili jesam sposoban da proizvoditi ( posebno u velik količina ) ,0,1
Važi za neljudski sisara ; stanje ili period povišen seksualan aktivnost i uzbuđenje . ,1,0
slavuj . ,1,0
radnik koji jesam najamiti da obaviti posati . ,0,1
ZW ,1,0
osoba koji ispoljavati pobožnost . ,1,0
Osećanje velik sreća . ,0,1
čin umirivanje ; ponovan zadobijanje čiji poverenje ,1,0
biti šta što se neki dugovati . ,1,0
rod porodica Monodontidae . ,1,0
švajcerski matematičar ( @card@ ) ,1,0
kaput napavljen od krzno . ,1,0
"francuski koji se govoriti u Kvebeku , Kanada ",1,0
kvalitet koji pružati zadovoljstvo čulo . ,0,1
koale ,1,0
koji moći da se desiti ili da postojati . ,0,1
Estri jesam organski jedinjenje koji nastajati proces esterifikacije ,1,0
posuda za kuvanje koji se sastojati od ravan pravouganog metal koji se koristiti za pečenje kolač ,1,0
porodica lišaj koji uključivati rod Usnea ; Evernia ; Ramalina ; Alectoria ,1,0
( 18th century ) a watch with a balanca wheel having a fake pendulum attached taj it ,1,0
osoba koji se brina o ljudi i njihov svojina . ,0,1
koji osećati nadolazeći opasnost ,1,0
alatka koji se koristiti za rezanje ili sečenje ,1,0
osloboditi konfuzija ili dvosmislenost ; učiniti jasan . ,1,0
"nagovestiti , naslutiti , predosećati . ",1,0
engleski autor koji se stvoriti Šerloka Holms ( @card@ ) ,1,0
a portable gun ,1,0
"fibrozno tkivo u vida školjka koji odvajati dva glavna delo mozak , velik mozak i mali mozak , cerebrum i cerebelum ",1,0
"energija libido trajno uložiti u neki ideja , lice ili predmet . ",1,0
koji se odnositi na rekurziju ,1,0
ispit koji se određivati kandidatov spremnost za neki studija . ,1,0
"stanje čovekov osećanje , posebno vezati za zadovoljstvo ili potištenost . ",1,0
Oslobođen spoljašnji kontrola i ograničenje . ,0,1
familija Ranunculaceae . ,1,0
mali ili srednji velik vrećoliki kontejner za držanje ili prenos stvar . ,1,0
na visok nivo po rang ili značaj ,0,1
Čin dodavanje spoljašnji ukras na nešto . ,0,1
mali rod voden ili poluvodenih biljka . ,1,0
vodoinstalater ( obično prikačiti na zid ) koji muškarac koristiti za mokrenje ,1,0
lekar koji specijalizovati angiologiju . ,1,0
osećanje izazvati nešto čudan i iznenađujući ,0,1
smanjiti promer kanal ili prolaz . ,1,0
DZ ,1,0
Ericaceae ; Clethraceae ; Diapensiaceae ; Epacridaceae ; Lennoaceae ; Pyrolaceae ; Monotropaceae ,1,0
neki ko pisati nov zakon ili plan ,1,0
bavarski krem okružiti piškota ,1,0
visok vrednost nešto . ,0,1
zmijinci ,1,0
osoba koji se odmarati ,1,0
o apostrofa ili koji jesam karakteristika apostrofa ,1,0
osoba čiji jesam svetost izuzetan ,0,1
any of various small terrestrial isopods having a flat elliptical segmented bodž ; found in damp habitats ,1,0
velik bogatstvo . ,0,1
"koji ohrabrivati , odobravati ili zadovoljavati ",0,1
rod po udaja . ,1,0
turkijski jezik koji govoriti Jakuti ,1,0
mera izglednosti neki događaj ,1,0
čuga ; ? hemlock fir ; ? hemlock spruce ,1,0
paprikaš sa ćuretina ,1,0
rod koji uključivati evropsu lunju ,1,0
koji se odnositi na padež ablativ ,1,0
stanje biti zaposliti ili imati posati . ,1,0
koji jesam pred erupcija ili izbacivati lav ( o vulkan ) ,0,1
politički teorija koji se zalagati za autoritaran hijerarhijski vladanje ( suprotno od demokratija ) ,1,0
negativno naelektrisati jon ,1,0
predmet koji se istresati prašina iz tepih . ,1,0
oji se odnositi na logograme ili logografe ,1,0
koncizan i sažet ,1,0
porodica zviždovki . ,1,0
Količina koji moći da stati u neki merica ,1,0
potpodela neki vrsta stvar ,1,0
lay eggs ,1,0
